"","Gene.Name","Diff.exp","Exp.level","percent_detected","cell.type","Approved","Suggested.Symbol"
"66","COPZ2",2.461700334,5.07618888,0.219950684,"CAFs",TRUE,"COPZ2"
"67","SLIT3",2.446125551,5.266805851,0.225008719,"CAFs",TRUE,"SLIT3"
"68","LINC00162",2.420840654,5.609989861,0.1955247,"CAFs",FALSE,"PICSAR"
"69","CFH",2.38337771,7.46904539,0.412364898,"CAFs",TRUE,"CFH"
"70","LUM",2.373241149,8.474967688,0.3666341,"CAFs",TRUE,"LUM"
"71","HSPB7",2.370686342,5.469789274,0.270027405,"CAFs",TRUE,"HSPB7"
"72","FAP",2.329047508,5.103615885,0.183358569,"CAFs",TRUE,"FAP"
"73","EFEMP1",2.31900786,8.28158863,0.454295205,"CAFs",TRUE,"EFEMP1"
"74","VTN",2.297472665,7.242832459,0.408257229,"CAFs",TRUE,"VTN"
"75","OLFML3",2.263655214,5.210106266,0.257645499,"CAFs",TRUE,"OLFML3"
"76","FBLN1",2.233618437,6.268601879,0.321713286,"CAFs",TRUE,"FBLN1"
"77","PDPN",2.187557769,7.784724725,0.440725752,"CAFs",TRUE,"PDPN"
"78","OSR1",2.140869104,5.796419647,0.303043548,"CAFs",TRUE,"OSR1"
"79","SERPINH1",2.13486084,9.150418449,0.464984548,"CAFs",TRUE,"SERPINH1"
"80","MMP2",2.130435647,6.048590908,0.261354885,"CAFs",TRUE,"MMP2"
"81","EHD2",2.115659266,5.639750201,0.282939236,"CAFs",TRUE,"EHD2"
"82","SLC12A8",2.060187597,6.427606634,0.333024715,"CAFs",TRUE,"SLC12A8"
"83","PRG4",2.039140095,6.930245098,0.263576525,"CAFs",TRUE,"PRG4"
"84","C1S",2.014575092,9.452865731,0.482115577,"CAFs",TRUE,"C1S"
"85","IGFBP6",2.002778299,10.96322135,0.494385769,"CAFs",TRUE,"IGFBP6"
"86","RCAN2",1.991041658,5.862945213,0.277645663,"CAFs",TRUE,"RCAN2"
"87","HTRA1",1.978718357,6.567539501,0.332278293,"CAFs",TRUE,"HTRA1"
"88","EFEMP2",1.975626823,7.509437116,0.442721681,"CAFs",TRUE,"EFEMP2"
