"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"1","AAAS",13,"mitochondrial outer membrane, peroxisome","19","nuclear outer membrane-ER membrane network",8086,113759,"HGNC:13666","NM_001173466","Q9NRG9",TRUE,"AAAS"
"2","AAK1",5,"actin cytoskeleton, cytosol","1","no prediction",22848,116520,"HGNC:19679","NM_014911","Q2M2I8",TRUE,"AAK1"
"3","AAR2",19,"miscellaneous","5","spliceosomal complex I",25980,117464,"HGNC:15886","NM_015511","Q9Y312",TRUE,"AAR2"
"4","AARS2",6,"ER lumen","4","ER lumen",57505,121569,"HGNC:21022","NM_020745","Q5JTZ9",TRUE,"AARS2"
"5","AASDH",2,"chromatin","22","chromatin, nucleoplasm",132949,126342,"HGNC:23993","NM_181806","Q4L235",TRUE,"AASDH"
"6","AASS",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",10157,115459,"HGNC:17366","NM_005763","Q9UDR5",TRUE,"AASS"
"7","AATF",8,"nucleolus","3","splicing speckles, nucleolus",26574,117743,"HGNC:19235","NM_012138","Q9NY61",TRUE,"AATF"
"8","ABCA3",14,"Golgi apparatus","19","nuclear outer membrane-ER membrane network",21,106539,"HGNC:33","NM_001089","Q99758",TRUE,"ABCA3"
"9","ABCB1",20,"early endosome, recycling endosome","1","no prediction",5243,111262,"HGNC:40","NM_000927","P08183",TRUE,"ABCB1"
"10","ABCB10",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",23456,117020,"HGNC:41","NM_012089","Q9NRK6",TRUE,"ABCB10"
"11","ABCB7",13,"mitochondrial outer membrane, peroxisome","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",22,106540,"HGNC:48","NM_004299","O75027",TRUE,"ABCB7"
"12","ABCC1",11,"plasma membrane","20","cell junction, plasma membrane",4363,110503,"HGNC:51","NM_004996","P33527",TRUE,"ABCC1"
"13","ABCC4",3,"ER membrane","19","nuclear outer membrane-ER membrane network",10257,115551,"HGNC:55","NM_005845","O15439",TRUE,"ABCC4"
"14","ABCC5",11,"plasma membrane","20","cell junction, plasma membrane",10057,115368,"HGNC:56","NM_005688","O15440",TRUE,"ABCC5"
"15","ABCD1",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",215,106717,"HGNC:61","NM_000033","P33897",TRUE,"ABCD1"
"16","ABCD3",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",5825,111783,"HGNC:67","NM_002858","P28288",TRUE,"ABCD3"
"17","ABCE1",19,"miscellaneous","-","-",6059,111986,"HGNC:69","NM_002940","P61221",TRUE,"ABCE1"
"18","ABCF2",11,"plasma membrane","-","-",10061,115372,"HGNC:71","NM_005692","Q9UG63",TRUE,"ABCF2"
"19","ABCF3",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",55324,120605,"HGNC:72","NM_018358","Q9NUQ8",TRUE,"ABCF3"
"20","ABHD10",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",55347,120628,"HGNC:25656","NM_018394","Q9NUJ1",TRUE,"ABHD10"
"21","ABHD12",6,"ER lumen","4","ER lumen",26090,117541,"HGNC:15868","NM_015600","Q8N2K0",TRUE,"ABHD12"
"22","ABI1",1,"cell junction","20","cell junction, plasma membrane",10006,115324,"HGNC:11320","NM_005470","Q8IZP0",TRUE,"ABI1"
"23","ABI2",11,"plasma membrane","20","cell junction, plasma membrane",10152,115454,"HGNC:24011","NM_005759","Q9NYB9",TRUE,"ABI2"
"24","ABL2",11,"plasma membrane","20","cell junction, plasma membrane",27,106545,"HGNC:77","NM_005158","P42684",TRUE,"ABL2"
"25","ABLIM1",1,"cell junction","-","-",3983,110171,"HGNC:78","NM_001003407","O14639",TRUE,"ABLIM1"
"26","ABR",11,"plasma membrane","20","cell junction, plasma membrane",29,106547,"HGNC:81","NM_001092","Q12979",TRUE,"ABR"
"27","ABRAXAS1",12,"centrosome","1","no prediction",84142,123911,"HGNC:25829","NM_139076","Q6UWZ7",TRUE,"ABRAXAS1"
"28","ACAA1",12,"centrosome","2","mitochondrial outer membrane, peroxisome",30,106548,"HGNC:82","NM_001607","P09110",TRUE,"ACAA1"
"29","ACAD11",19,"miscellaneous","2","mitochondrial outer membrane, peroxisome",84129,123902,"HGNC:30211","NM_032169","Q709F0",TRUE,"ACAD11"
"30","ACAD9",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",28976,118799,"HGNC:21497","NM_014049","Q9H845",TRUE,"ACAD9"
"31","ACADM",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",34,106552,"HGNC:89","NM_000016","P11310",TRUE,"ACADM"
"32","ACADSB",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",36,106554,"HGNC:91","NM_001609","P45954",TRUE,"ACADSB"
"33","ACADVL",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",37,106555,"HGNC:92","NM_000018","P49748",TRUE,"ACADVL"
"34","ACAP2",11,"plasma membrane","1","no prediction",23527,117073,"HGNC:16469","NM_012287","Q15057",TRUE,"ACAP2"
"35","ACAT1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",38,106556,"HGNC:93","NM_000019","P24752",TRUE,"ACAT1"
"36","ACBD3",14,"Golgi apparatus","9","Golgi apparatus",64746,122262,"HGNC:15453","NM_022735","Q9H3P7",TRUE,"ACBD3"
"37","ACBD4",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",79777,122878,"HGNC:23337","NM_024722","Q8NC06",TRUE,"ACBD4"
"38","ACBD5",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",91452,124836,"HGNC:23338","NM_145698","Q5T8D3",TRUE,"ACBD5"
"39","ACIN1",10,"nuclear body","3","splicing speckles, nucleolus",22985,116634,"HGNC:17066","NM_014977","Q9UKV3",TRUE,"ACIN1"
"40","ACO2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",50,106566,"HGNC:118","NM_001098","Q99798",TRUE,"ACO2"
"41","ACOT1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",641371,534965,"HGNC:33128","NM_001037161","Q86TX2",TRUE,"ACOT1"
"42","ACOT2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",10965,116164,"HGNC:18431","NM_006821","P49753",TRUE,"ACOT2"
"43","ACOT7",19,"miscellaneous","-","-",11332,116460,"HGNC:24157","NM_007274","O00154",TRUE,"ACOT7"
"44","ACOT8",12,"centrosome","2","mitochondrial outer membrane, peroxisome",10005,115323,"HGNC:15919","NM_183386","O14734",TRUE,"ACOT8"
"45","ACOT9",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",23597,117132,"HGNC:17152","NM_012332","Q9Y305",TRUE,"ACOT9"
"46","ACOX1",12,"centrosome","2","mitochondrial outer membrane, peroxisome",51,106567,"HGNC:119","NM_001185039","Q15067",TRUE,"ACOX1"
"47","ACSF3",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",197322,128248,"HGNC:27288","NM_174917","Q4G176",TRUE,"ACSF3"
"48","ACSL3",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",2181,108477,"HGNC:3570","NM_004457","O95573",TRUE,"ACSL3"
"49","ACSL4",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",2182,108478,"HGNC:3571","NM_004458","O60488",TRUE,"ACSL4"
"50","ACSS1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",84532,124122,"HGNC:16091","NM_032501","Q9NUB1",TRUE,"ACSS1"
"51","ACTA1",11,"plasma membrane","-","-",58,106573,"HGNC:129","NM_001100","P68133",TRUE,"ACTA1"
"52","ACTA2",5,"actin cytoskeleton, cytosol","-","-",59,106574,"HGNC:130","NM_001613","P62736",TRUE,"ACTA2"
"53","ACTB",19,"miscellaneous","-","-",60,106575,"HGNC:132","NM_001101","P60709",TRUE,"ACTB"
"54","ACTBL2",5,"actin cytoskeleton, cytosol","7","actin cytoskeleton",345651,131362,"HGNC:17780","NM_001017992","Q562R1",TRUE,"ACTBL2"
"55","ACTC1",5,"actin cytoskeleton, cytosol","20","cell junction, plasma membrane",70,106585,"HGNC:143","NM_005159","P68032",TRUE,"ACTC1"
"56","ACTG1",19,"miscellaneous","1","no prediction",71,106586,"HGNC:144","NM_001614","P63261",TRUE,"ACTG1"
"57","ACTL6A",2,"chromatin","22","chromatin, nucleoplasm",86,106601,"HGNC:24124","NM_004301","O96019",TRUE,"ACTL6A"
"58","ACTN1",19,"miscellaneous","-","-",87,106602,"HGNC:163","NM_001102","P12814",TRUE,"ACTN1"
"59","ACTN4",5,"actin cytoskeleton, cytosol","20","cell junction, plasma membrane",81,106596,"HGNC:166","NM_001322033","O43707",TRUE,"ACTN4"
"60","ACTR10",17,"microtubule cytoskeleton","15","microtubule cytoskeleton",55860,120962,"HGNC:17372","NM_018477","Q9NZ32",TRUE,"ACTR10"
"61","ACTR2",1,"cell junction","-","-",10097,115404,"HGNC:169","NM_001005386","P61160",TRUE,"ACTR2"
"62","ADAM17",3,"ER membrane","19","nuclear outer membrane-ER membrane network",6868,112731,"HGNC:195","NM_003183","P78536",TRUE,"ADAM17"
"63","ADAM22",11,"plasma membrane","20","cell junction, plasma membrane",53616,119789,"HGNC:201","NM_021723","Q9P0K1",TRUE,"ADAM22"
"64","ADAM9",11,"plasma membrane","20","cell junction, plasma membrane",8754,114290,"HGNC:216","NM_003816","Q13443",TRUE,"ADAM9"
"65","ADAR",8,"nucleolus","3","splicing speckles, nucleolus",103,106617,"HGNC:225","NM_001111","P55265",TRUE,"ADAR"
"66","ADCK2",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",90956,124782,"HGNC:19039","NM_052853","Q7Z695",TRUE,"ADCK2"
"67","ADCY3",11,"plasma membrane","20","cell junction, plasma membrane",109,106623,"HGNC:234","NM_001320613","O60266",TRUE,"ADCY3"
"68","ADCY6",11,"plasma membrane","20","cell junction, plasma membrane",112,106625,"HGNC:237","NM_020983","O43306",TRUE,"ADCY6"
"69","ADCY9",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",115,106628,"HGNC:240","NM_001116","O60503",TRUE,"ADCY9"
"70","ADD1",1,"cell junction","20","cell junction, plasma membrane",118,106631,"HGNC:243","NM_014189","P35611",TRUE,"ADD1"
"71","ADD2",1,"cell junction","20","cell junction, plasma membrane",119,106632,"HGNC:244","NM_001617","P35612",TRUE,"ADD2"
"72","ADD3",1,"cell junction","20","cell junction, plasma membrane",120,106633,"HGNC:245","NM_019903","Q9UEY8",TRUE,"ADD3"
"73","ADGRL1",1,"cell junction","20","cell junction, plasma membrane",22859,116528,"HGNC:20973","NM_014921","O94910",TRUE,"ADGRL1"
"74","ADGRL2",1,"cell junction","20","cell junction, plasma membrane",23266,116868,"HGNC:18582","NM_012302","O95490",TRUE,"ADGRL2"
"75","ADIPOR1",11,"plasma membrane","20","cell junction, plasma membrane",51094,119283,"HGNC:24040","NM_015999","Q96A54",TRUE,"ADIPOR1"
"76","ADIPOR2",3,"ER membrane","19","nuclear outer membrane-ER membrane network",79602,122739,"HGNC:24041","NM_024551","Q86V24",TRUE,"ADIPOR2"
"77","ADNP",2,"chromatin","22","chromatin, nucleoplasm",23394,116967,"HGNC:15766","NM_181442","Q9H2P0",TRUE,"ADNP"
"78","ADNP2",2,"chromatin","22","chromatin, nucleoplasm",22850,116522,"HGNC:23803","NM_014913","Q6IQ32",TRUE,"ADNP2"
"79","ADPGK",6,"ER lumen","4","ER lumen",83440,123643,"HGNC:25250","NM_031284","Q9BRR6",TRUE,"ADPGK"
"80","AFDN",1,"cell junction","20","cell junction, plasma membrane",4301,110447,"HGNC:7137","NM_005936","P55196",TRUE,"AFDN"
"81","AFF4",10,"nuclear body","22","chromatin, nucleoplasm",27125,118016,"HGNC:17869","NM_014423","Q9UHB7",TRUE,"AFF4"
"82","AFG3L2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",10939,116139,"HGNC:315","NM_006796","Q9Y4W6",TRUE,"AFG3L2"
"83","AFTPH",20,"early endosome, recycling endosome","18","endosome, lysosome",54812,120169,"HGNC:25951","NM_017657","Q6ULP2",TRUE,"AFTPH"
"84","AGAP1",11,"plasma membrane","1","no prediction",116987,125550,"HGNC:16922","NM_014914","Q9UPQ3",TRUE,"AGAP1"
"85","AGAP3",11,"plasma membrane","-","-",116988,125551,"HGNC:16923","NM_031946","Q96P47",TRUE,"AGAP3"
"86","AGFG1",1,"cell junction","6","clathrin coat",3267,109503,"HGNC:5175","NM_004504","P52594",TRUE,"AGFG1"
"87","AGFG2",20,"early endosome, recycling endosome","6","clathrin coat",3268,109504,"HGNC:5177","NM_006076","O95081",TRUE,"AGFG2"
"88","AGGF1",9,"nucleoplasm","1","no prediction",55109,120419,"HGNC:24684","NM_018046","Q8N302",TRUE,"AGGF1"
"89","AGK",18,"mitochondrial inner membrane, mitochondrial intermembrane space","1","no prediction",55750,120868,"HGNC:21869","NM_018238","Q53H12",TRUE,"AGK"
"90","AGO2",12,"centrosome","14","centrosome enriched, P-body enriched",27161,118041,"HGNC:3263","NM_012154","Q9UKV8",TRUE,"AGO2"
"91","AGPAT1",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",10554,115805,"HGNC:324","NM_006411","Q99943",TRUE,"AGPAT1"
"92","AGPAT3",3,"ER membrane","19","nuclear outer membrane-ER membrane network",56894,121224,"HGNC:326","NM_020132","Q9NRZ7",TRUE,"AGPAT3"
"93","AGTPBP1",5,"actin cytoskeleton, cytosol","-","-",23287,116885,"HGNC:17258","NM_015239","Q9UPW5",TRUE,"AGTPBP1"
"94","AHCTF1",15,"nuclear outer membrane-ER membrane network","24","nuclear pore",25909,117414,"HGNC:24618","NM_015446","Q8WYP5",TRUE,"AHCTF1"
"95","AHCYL1",1,"cell junction","20","cell junction, plasma membrane",10768,115987,"HGNC:344","NM_001242673","O43865",TRUE,"AHCYL1"
"96","AHCYL2",11,"plasma membrane","20","cell junction, plasma membrane",23382,116958,"HGNC:22204","NM_001130720","Q96HN2",TRUE,"AHCYL2"
"97","AHNAK2",20,"early endosome, recycling endosome","-","-",113146,125226,"HGNC:20125","NM_138420","Q8IVF2",TRUE,"AHNAK2"
"98","AHSA1",19,"miscellaneous","-","-",10598,115846,"HGNC:1189","NM_012111","O95433",TRUE,"AHSA1"
"99","AIF1L",5,"actin cytoskeleton, cytosol","-","-",83543,123676,"HGNC:28904","NM_031426","Q9BQI0",TRUE,"AIF1L"
"100","AIFM1",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",9131,114579,"HGNC:8768","NM_001130846","O95831",TRUE,"AIFM1"
"101","AIFM2",15,"nuclear outer membrane-ER membrane network","1","no prediction",84883,124325,"HGNC:21411","NM_032797","Q9BRQ8",TRUE,"AIFM2"
"102","AIP",19,"miscellaneous","1","no prediction",9049,114511,"HGNC:358","NM_001302959","O00170",TRUE,"AIP"
"103","AK2",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",204,106707,"HGNC:362","NM_001625","P54819",TRUE,"AK2"
"104","AK3",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",50808,119127,"HGNC:17376","NM_016282","Q9UIJ7",TRUE,"AK3"
"105","AK4",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",205,106708,"HGNC:363","NM_013410","P27144",TRUE,"AK4"
"106","AKAP1",18,"mitochondrial inner membrane, mitochondrial intermembrane space","2","mitochondrial outer membrane, peroxisome",8165,113818,"HGNC:367","NM_001242902","Q92667",TRUE,"AKAP1"
"107","AKAP10",20,"early endosome, recycling endosome","18","endosome, lysosome",11216,116385,"HGNC:368","NM_007202","O43572",TRUE,"AKAP10"
"108","AKAP11",15,"nuclear outer membrane-ER membrane network","1","no prediction",11215,116384,"HGNC:369","NM_016248","Q9UKA4",TRUE,"AKAP11"
"109","AKAP12",1,"cell junction","20","cell junction, plasma membrane",9590,114958,"HGNC:370","NM_005100","Q02952",TRUE,"AKAP12"
"110","AKAP13",5,"actin cytoskeleton, cytosol","-","-",11214,116383,"HGNC:371","NM_007200","Q12802",TRUE,"AKAP13"
"111","AKAP17A",10,"nuclear body","3","splicing speckles, nucleolus",8227,113860,"HGNC:18783","NM_005088","Q02040",TRUE,"AKAP17A"
"112","AKAP2",5,"actin cytoskeleton, cytosol","-","-",11217,116386,"HGNC:372","NM_001004065","Q9Y2D5",TRUE,"AKAP2"
"113","AKAP5",1,"cell junction","20","cell junction, plasma membrane",9495,114874,"HGNC:375","NM_004857","P24588",TRUE,"AKAP5"
"114","AKAP8",10,"nuclear body","8","paraspeckles",10270,115561,"HGNC:378","NM_005858","O43823",TRUE,"AKAP8"
"115","AKAP8L",19,"miscellaneous","-","-",26993,117940,"HGNC:29857","NM_014371","Q9ULX6",TRUE,"AKAP8L"
"116","AKAP9",12,"centrosome","1","no prediction",10142,115445,"HGNC:379","NM_005751","Q99996",TRUE,"AKAP9"
"117","AKT2",1,"cell junction","20","cell junction, plasma membrane",208,106711,"HGNC:392","NM_001626","P31751",TRUE,"AKT2"
"118","ALAS1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",211,106713,"HGNC:396","NM_000688","P13196",TRUE,"ALAS1"
"119","ALCAM",11,"plasma membrane","20","cell junction, plasma membrane",214,106716,"HGNC:400","NM_001627","Q13740",TRUE,"ALCAM"
"120","ALDH18A1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",5832,111790,"HGNC:9722","NM_002860","P54886",TRUE,"ALDH18A1"
"121","ALDH1A2",5,"actin cytoskeleton, cytosol","-","-",8854,114379,"HGNC:15472","NM_001206897","O94788",TRUE,"ALDH1A2"
"122","ALDH1B1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",219,106721,"HGNC:407","NM_000692","P30837",TRUE,"ALDH1B1"
"123","ALDH1L2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",160428,127759,"HGNC:26777","NM_001034173","Q3SY69",TRUE,"ALDH1L2"
"124","ALDH2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",217,106719,"HGNC:404","NM_000690","P05091",TRUE,"ALDH2"
"125","ALDH3A2",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",224,106726,"HGNC:403","NM_000382","P51648",TRUE,"ALDH3A2"
"126","ALDH3B1",5,"actin cytoskeleton, cytosol","1","no prediction",221,106723,"HGNC:410","NM_000694","P43353",TRUE,"ALDH3B1"
"127","ALDH7A1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",501,106990,"HGNC:877","NM_001182","P49419",TRUE,"ALDH7A1"
"128","ALDH9A1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",223,106725,"HGNC:412","NM_000696","P49189",TRUE,"ALDH9A1"
"129","ALG13",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",79868,122956,"HGNC:30881","NM_018466","Q9NP73",TRUE,"ALG13"
"130","ALG3",3,"ER membrane","19","nuclear outer membrane-ER membrane network",10195,115490,"HGNC:23056","NM_005787","Q92685",TRUE,"ALG3"
"131","ALG5",13,"mitochondrial outer membrane, peroxisome","-","-",29880,118935,"HGNC:20266","NM_013338","Q9Y673",TRUE,"ALG5"
"132","ALG9",3,"ER membrane","19","nuclear outer membrane-ER membrane network",79796,122893,"HGNC:15672","NM_024740","Q9H6U8",TRUE,"ALG9"
"133","ALKBH4",19,"miscellaneous","1","no prediction",54784,120148,"HGNC:21900","NM_017621","Q9NXW9",TRUE,"ALKBH4"
"134","ALKBH5",2,"chromatin","22","chromatin, nucleoplasm",54890,120237,"HGNC:25996","NM_017758","Q6P6C2",TRUE,"ALKBH5"
"135","ALMS1",12,"centrosome","14","centrosome enriched, P-body enriched",7840,113598,"HGNC:428","NM_015120","Q8TCU4",TRUE,"ALMS1"
"136","ALYREF",2,"chromatin","22","chromatin, nucleoplasm",10189,115486,"HGNC:19071","NM_005782","Q86V81",TRUE,"ALYREF"
"137","AMER1",1,"cell junction","20","cell junction, plasma membrane",139285,126556,"HGNC:26837","NM_152424","Q5JTC6",TRUE,"AMER1"
"138","AMIGO2",11,"plasma membrane","20","cell junction, plasma membrane",347902,131497,"HGNC:24073","NM_181847","Q86SJ2",TRUE,"AMIGO2"
"139","AMOT",12,"centrosome","20","cell junction, plasma membrane",154796,127557,"HGNC:17810","NM_133265","Q4VCS5",TRUE,"AMOT"
"140","AMOTL1",12,"centrosome","20","cell junction, plasma membrane",154810,127559,"HGNC:17811","NM_130847","Q8IY63",TRUE,"AMOTL1"
"141","ANAPC1",12,"centrosome","12","anaphase-promoting complex, kinesin complex",64682,122229,"HGNC:19988","NM_022662","Q9H1A4",TRUE,"ANAPC1"
"142","ANAPC4",19,"miscellaneous","12","anaphase-promoting complex, kinesin complex",29945,118982,"HGNC:19990","NM_013367","Q9UJX5",TRUE,"ANAPC4"
"143","ANAPC5",19,"miscellaneous","12","anaphase-promoting complex, kinesin complex",51433,119537,"HGNC:15713","NM_001137559","Q9UJX4",TRUE,"ANAPC5"
"144","ANGEL2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",90806,124763,"HGNC:30534","NM_144567","Q5VTE6",TRUE,"ANGEL2"
"145","ANK2",1,"cell junction","-","-",287,106784,"HGNC:493","NM_001148","Q01484",TRUE,"ANK2"
"146","ANK3",1,"cell junction","20","cell junction, plasma membrane",288,106785,"HGNC:494","NM_020987","Q12955",TRUE,"ANK3"
"147","ANKFY1",20,"early endosome, recycling endosome","-","-",51479,119564,"HGNC:20763","NM_016376","Q9P2R3",TRUE,"ANKFY1"
"148","ANKH",7,"endosome, lysosome","18","endosome, lysosome",56172,121103,"HGNC:15492","NM_054027","Q9HCJ1",TRUE,"ANKH"
"149","ANKHD1",16,"cytoplasmic ribonucleoprotein granule","-","-",54882,120230,"HGNC:24714","NM_017747","Q8IWZ3",TRUE,"ANKHD1"
"150","ANKHD1-EIF4EBP3",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",404734,135698,"HGNC:33530","NM_020690","",TRUE,"ANKHD1-EIF4EBP3"
"151","ANKLE2",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",23141,116758,"HGNC:29101","NM_015114","Q86XL3",TRUE,"ANKLE2"
"152","ANKRD11",9,"nucleoplasm","22","chromatin, nucleoplasm",29123,118888,"HGNC:21316","NM_013275","Q6UB99",TRUE,"ANKRD11"
"153","ANKRD13C",13,"mitochondrial outer membrane, peroxisome","1","no prediction",81573,123534,"HGNC:25374","NM_030816","Q8N6S4",TRUE,"ANKRD13C"
"154","ANKRD17",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",26057,117519,"HGNC:23575","NM_032217","O75179",TRUE,"ANKRD17"
"155","ANKRD26",1,"cell junction","1","no prediction",22852,116523,"HGNC:29186","NM_001256053","Q9UPS8",TRUE,"ANKRD26"
"156","ANKRD27",7,"endosome, lysosome","1","no prediction",84079,123874,"HGNC:25310","NM_032139","Q96NW4",TRUE,"ANKRD27"
"157","ANKRD28",17,"microtubule cytoskeleton","1","no prediction",23243,116847,"HGNC:29024","NM_015199","O15084",TRUE,"ANKRD28"
"158","ANKRD50",11,"plasma membrane","20","cell junction, plasma membrane",57182,121431,"HGNC:29223","NM_020337","Q9ULJ7",TRUE,"ANKRD50"
"159","ANKRD52",17,"microtubule cytoskeleton","15","microtubule cytoskeleton",283373,129540,"HGNC:26614","NM_173595","Q8NB46",TRUE,"ANKRD52"
"160","ANKS1A",1,"cell junction","6","clathrin coat",23294,116889,"HGNC:20961","NM_015245","Q92625",TRUE,"ANKS1A"
"161","ANKS6",7,"endosome, lysosome","-","-",203286,128464,"HGNC:26724","NM_173551","Q68DC2",TRUE,"ANKS6"
"162","ANLN",11,"plasma membrane","20","cell junction, plasma membrane",54443,119959,"HGNC:14082","NM_018685","Q9NQW6",TRUE,"ANLN"
"163","ANO10",3,"ER membrane","19","nuclear outer membrane-ER membrane network",55129,120435,"HGNC:25519","NM_018075","Q9NW15",TRUE,"ANO10"
"164","ANO5",19,"miscellaneous","24","nuclear pore",203859,128482,"HGNC:27337","NM_213599","Q75V66",TRUE,"ANO5"
"165","ANO6",3,"ER membrane","19","nuclear outer membrane-ER membrane network",196527,128218,"HGNC:25240","NM_001025356","Q4KMQ2",TRUE,"ANO6"
"166","ANO8",3,"ER membrane","19","nuclear outer membrane-ER membrane network",57719,121742,"HGNC:29329","NM_020959","Q9HCE9",TRUE,"ANO8"
"167","ANP32E",8,"nucleolus","22","chromatin, nucleoplasm",81611,123548,"HGNC:16673","NM_030920","Q9BTT0",TRUE,"ANP32E"
"168","ANTXR1",11,"plasma membrane","-","-",84168,123924,"HGNC:21014","NM_032208","Q9H6X2",TRUE,"ANTXR1"
"169","ANTXR2",11,"plasma membrane","20","cell junction, plasma membrane",118429,125602,"HGNC:21732","NM_058172","P58335",TRUE,"ANTXR2"
"170","ANXA6",6,"ER lumen","-","-",309,106806,"HGNC:544","NM_001155","P08133",TRUE,"ANXA6"
"171","AP1AR",20,"early endosome, recycling endosome","18","endosome, lysosome",55435,120667,"HGNC:28808","NM_018569","Q63HQ0",TRUE,"AP1AR"
"172","AP1B1",7,"endosome, lysosome","6","clathrin coat",162,106671,"HGNC:554","NM_001127","Q10567",TRUE,"AP1B1"
"173","AP1G1",7,"endosome, lysosome","1","no prediction",164,106673,"HGNC:555","NM_001030007","O43747",TRUE,"AP1G1"
"174","AP1M1",7,"endosome, lysosome","6","clathrin coat",8907,114421,"HGNC:13667","NM_032493","Q9BXS5",TRUE,"AP1M1"
"175","AP2A1",5,"actin cytoskeleton, cytosol","6","clathrin coat",160,106669,"HGNC:561","NM_014203","O95782",TRUE,"AP2A1"
"176","AP2A2",5,"actin cytoskeleton, cytosol","6","clathrin coat",161,106670,"HGNC:562","NM_012305","O94973",TRUE,"AP2A2"
"177","AP2B1",7,"endosome, lysosome","18","endosome, lysosome",163,106672,"HGNC:563","NM_001030006","P63010",TRUE,"AP2B1"
"178","AP2M1",7,"endosome, lysosome","18","endosome, lysosome",1173,107587,"HGNC:564","NM_004068","Q96CW1",TRUE,"AP2M1"
"179","AP2S1",5,"actin cytoskeleton, cytosol","6","clathrin coat",1175,107589,"HGNC:565","NM_001301076","P53680",TRUE,"AP2S1"
