"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"3580","SPRED2",11,"plasma membrane","20","cell junction, plasma membrane",200734,128344,"HGNC:17722","NM_001128210","Q7Z698",TRUE,"SPRED2"
"3581","SPRY1",7,"endosome, lysosome","18","endosome, lysosome",10252,115546,"HGNC:11269","NM_001258038","O43609",TRUE,"SPRY1"
"3582","SPRY2",11,"plasma membrane","20","cell junction, plasma membrane",10253,115547,"HGNC:11270","NM_001318536","O43597",TRUE,"SPRY2"
"3583","SPRY4",11,"plasma membrane","18","endosome, lysosome",81848,123599,"HGNC:15533","NM_001127496","Q9C004",TRUE,"SPRY4"
"3584","SPRYD4",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",283377,129542,"HGNC:27468","NM_207344","Q8WW59",TRUE,"SPRYD4"
"3585","SPTAN1",1,"cell junction","20","cell junction, plasma membrane",6709,112587,"HGNC:11273","NM_003127","Q13813",TRUE,"SPTAN1"
"3586","SPTBN1",11,"plasma membrane","20","cell junction, plasma membrane",6711,112589,"HGNC:11275","NM_003128","Q01082",TRUE,"SPTBN1"
"3587","SPTBN2",11,"plasma membrane","20","cell junction, plasma membrane",6712,112590,"HGNC:11276","NM_006946","O15020",TRUE,"SPTBN2"
"3588","SPTBN5",9,"nucleoplasm","-","-",51332,119479,"HGNC:15680","NM_016642","Q9NRC6",TRUE,"SPTBN5"
"3589","SPTLC1",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",10558,115809,"HGNC:11277","NM_006415","O15269",TRUE,"SPTLC1"
"3590","SPTLC2",3,"ER membrane","19","nuclear outer membrane-ER membrane network",9517,114894,"HGNC:11278","NM_004863","O15270",TRUE,"SPTLC2"
"3591","SPTY2D1",8,"nucleolus","3","splicing speckles, nucleolus",144108,126830,"HGNC:26818","NM_194285","Q68D10",TRUE,"SPTY2D1"
