"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"1","NUDT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUDT11","Q96G61"
"2","IGKV3-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,23817,NA,NA,NA,NA,NA,NA,12726,5520.1,NA,NA,NA,NA,"IGKV3-7","A0A075B6H7"
"3","IGLV4-69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV4-69","A0A075B6H9"
"4","IGLV8-61",NA,NA,NA,NA,NA,NA,NA,NA,NA,27948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV8-61","A0A075B6I0"
"5","IGLV4-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8937.1,NA,NA,NA,NA,NA,NA,NA,"IGLV4-60","A0A075B6I1"
"6","IGLV10-54",NA,103280,NA,NA,NA,NA,27368,NA,NA,NA,NA,NA,NA,NA,33611,NA,15922,NA,273030,NA,NA,NA,"IGLV10-54","A0A075B6I4"
"7","IGLV7-46",NA,NA,NA,NA,NA,NA,NA,NA,NA,10340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76132,NA,"IGLV7-46","A0A075B6I9"
"8","IGLV5-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV5-37","A0A075B6J1"
"9","IGLV2-18",NA,NA,NA,20196,NA,NA,NA,NA,NA,93951,NA,NA,NA,NA,NA,NA,7216.2,NA,NA,NA,29130,NA,"IGLV2-18","A0A075B6J9"
"10","IGLV3-16",NA,46965,NA,NA,NA,NA,NA,NA,NA,NA,375980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-16","A0A075B6K0"
"11","IGLV3-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-12","A0A075B6K2"
"12","IGLV3-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-10","A0A075B6K4"
"13","IGLV3-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-9","A0A075B6K5"
"14","IGKV2D-28",6137.8,NA,NA,NA,NA,NA,17069,NA,NA,NA,NA,NA,4212.8,NA,22247,NA,8646,NA,15631,NA,21560,NA,"IGKV2D-28","A0A075B6P5"
"15","IGHV3-64",NA,526.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11978,NA,NA,NA,"IGHV3-64","A0A075B6Q5"
"16","IGHV4-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV4-4","A0A075B6R2"
"17","IGKV2-24",NA,NA,25889,17105,NA,NA,NA,NA,37267,52622,29922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV2-24","A0A0C4DH68"
"18","IGKV2D-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV2D-29","A0A075B6S2"
"19","IGKV1D-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV1D-17","A0A075B6S4"
"20","IGKV1-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV1-27","A0A075B6S5"
"21","IGKV1D-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2631.1,NA,"IGKV1D-37","P0DSN7"
"22","IGHV3OR16-12",NA,NA,NA,NA,NA,6502.1,79874,NA,NA,NA,NA,NA,64438,NA,121510,NA,NA,NA,NA,NA,173110,NA,"IGHV3OR16-12","A0A075B7B8"
"23","IGHV1OR15-1",NA,NA,NA,NA,NA,NA,NA,NA,12604,17764,NA,NA,52333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV1OR15-1","A0A075B7D0"
"24","IGHV3OR15-7",NA,NA,NA,NA,NA,NA,12416,NA,NA,NA,NA,NA,4072.2,NA,23687,NA,NA,NA,NA,NA,NA,NA,"IGHV3OR15-7","A0A075B7D8"
"25","IGHV4-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV4-31","A0A087WSY4"
"26","IGKV1D-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4692,NA,"IGKV1D-8","A0A087WSZ0"
"27","TMEM265",NA,NA,NA,NA,NA,NA,NA,NA,12646,NA,3965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM265","A0A087WTH1"
"28","IGKV2-40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV2-40","P01614"
"29","IGHV1-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320.2,NA,NA,NA,NA,NA,"IGHV1-45","A0A0A0MS14"
"30","IGHV3-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-49","A0A0A0MS15"
"31","IGKV6D-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV6D-21","A0A0A0MT36"
"32","IGLV1-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,115030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV1-36","A0A0B4J1U3"
"33","IGHV6-1",NA,NA,NA,NA,9189,NA,NA,NA,NA,6914.7,NA,NA,10364,NA,NA,NA,NA,NA,NA,NA,22052,NA,"IGHV6-1","A0A0B4J1U7"
"34","IGHV3-15",NA,NA,49063,35045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-15","A0A0B4J1V0"
"35","IGHV3-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-21","A0A0B4J1V1"
"36","IGHV2-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV2-26","A0A0B4J1V2"
"37","IGHV3-73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24276,NA,NA,NA,NA,NA,"IGHV3-73","A0A0B4J1V6"
"38","IGHV3-74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31569,NA,NA,NA,10861,NA,18037,NA,NA,NA,"IGHV3-74","A0A0B4J1X5"
"39","IGHV3-43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-43","A0A0B4J1X8"
"40","IGLV9-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLV9-49","A0A0B4J1Y8"
"41","IGHV3-72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-72","A0A0B4J1Y9"
"42","P0DPI2",NA,1677.4,NA,1184.4,NA,NA,NA,1493.5,NA,NA,NA,NA,2423.2,NA,3137.1,NA,NA,NA,4501.3,NA,4146,1980.8,"P0DPI2","P0DPI2"
"43","IGKV1D-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV1D-13","P0DP09"
"44","SIK1",NA,NA,NA,2271.1,NA,NA,NA,NA,NA,7529,NA,1176.9,NA,NA,NA,2866.5,NA,NA,NA,1490.6,NA,2299.6,"SIK1","P57059"
"45","IGHV1-69-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV1-69-2","A0A0B4J2H0"
"46","IGKV6-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25607,NA,"IGKV6-21","A0A0C4DH24"
"47","IGKV3D-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV3D-20","A0A0C4DH25"
"48","IGHV1-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,59521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV1-3","A0A0C4DH29"
"49","IGHV1-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67710,15281,NA,NA,63323,21671,"IGHV1-18","A0A0C4DH31"
"50","IGHV3-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525.9,NA,4831.7,NA,NA,NA,"IGHV3-20","A0A0C4DH32"
"51","IGHV1-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV1-24","A0A0C4DH33"
"52","IGHV4-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4250.7,NA,NA,NA,NA,NA,1632.5,NA,4118.1,NA,"IGHV4-28","A0A0C4DH34"
"53","IGHV3-35",NA,NA,NA,NA,NA,NA,1421.8,NA,NA,NA,NA,NA,1745.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-35","A0A0C4DH35"
"54","IGHV3-38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-38","A0A0C4DH36"
"55","IGHV5-51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV5-51","A0A0C4DH38"
"56","IGHV1-58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV1-58","A0A0C4DH39"
"57","IGHV4-61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGHV4-61","A0A0C4DH41"
"58","A0A0C4DH43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8187,NA,NA,NA,NA,NA,13998,NA,"A0A0C4DH43","A0A0C4DH43"
"59","IGKV1-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV1-8","A0A0C4DH67"
"60","IGKV1-6",NA,NA,NA,53915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGKV1-6","A0A0C4DH72"
"61","IGKV1-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16329,NA,2018.6,NA,NA,NA,NA,NA,"IGKV1-12","A0A0C4DH73"
"62","HLA-DRA",225810,157420,136600,167890,450200,140850,463740,179930,247300,195540,NA,NA,348580,62490,603650,89442,2982800,657400,228340,94222,305640,162210,"HLA-DRA","P01903"
"63","A0A0G2JRQ6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9639.9,NA,NA,NA,NA,NA,NA,NA,3869.6,NA,NA,NA,"A0A0G2JRQ6","A0A0G2JRQ6"
"64","IGLV5-45",8224.2,1138.6,NA,NA,4854.8,NA,NA,NA,NA,NA,73084,NA,843.26,NA,1023.9,NA,NA,NA,NA,NA,NA,NA,"IGLV5-45","A0A0G2JS06"
"65","A0A0J9YVY3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6010.7,NA,"A0A0J9YVY3","A0A0J9YVY3"
"66","A0A0J9YX35",NA,NA,NA,NA,NA,NA,1987.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119490,NA,3499.6,NA,"A0A0J9YX35","A0A0J9YX35"
"67","A0A0J9YXX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A0J9YXX1","A0A0J9YXX1"
"68","A0A0J9YY99",NA,NA,NA,NA,NA,NA,4443.2,NA,NA,3824.8,NA,NA,NA,NA,NA,NA,NA,NA,9949.4,NA,5573.7,NA,"A0A0J9YY99","A0A0J9YY99"
"69","A0A1B0GV96",NA,NA,NA,NA,NA,NA,20371,12462,NA,NA,NA,NA,1079.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A1B0GV96","A0A1B0GV96"
"70","A0A1B0GWB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A0A1B0GWB2","A0A1B0GWB2"
"71","RBM47",NA,NA,NA,NA,81.438,NA,NA,NA,3759.8,NA,717.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBM47","A0AV96"
"72","TTC26",NA,NA,NA,NA,NA,NA,304.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3278.3,NA,"TTC26","A0AVF1"
"73","UBA6",718.25,NA,680.52,NA,928.78,253.53,1555.6,NA,2623.9,178.75,245.57,348.03,1311.1,NA,2045,NA,4551.6,NA,103.97,NA,161.71,NA,"UBA6","A0AVT1"
"74","ESYT2",38218,3105.7,5484.7,NA,13900,146.72,8114.6,671.36,39138,8962.5,13235,198.59,2564.6,NA,1235.9,NA,671.4,NA,658.87,NA,3249.6,232.51,"ESYT2","A0FGR8"
"75","IGLC7",NA,NA,9206.2,3231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLC7","A0M8Q6"
"76","GXYLT2",386.48,NA,563.85,NA,327.45,NA,NA,NA,NA,NA,5134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GXYLT2","A0PJZ3"
"77","SLC22A23",NA,NA,NA,NA,NA,NA,309.16,NA,NA,NA,NA,NA,NA,NA,348.79,NA,NA,NA,NA,NA,2513.7,NA,"SLC22A23","A1A5C7"
"78","ARHGEF37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGEF37","A1IGU5"
"79","ILVBL",242240,17294,44407,3272,100360,4503,53085,9898.1,NA,NA,111880,3280.7,16161,NA,1476.3,NA,158.03,NA,1627.8,NA,NA,NA,"ILVBL","A1L0T0"
"80","PLEKHG3",NA,NA,NA,NA,1731.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLEKHG3","A1L390"
"81","SSC5D",NA,109940,NA,102830,NA,54141,NA,81067,NA,79067,NA,NA,NA,12060,NA,NA,NA,61698,NA,NA,NA,NA,"SSC5D","A1L4H1"
"82","NBAS",1045.7,NA,127.53,NA,669.87,NA,NA,NA,NA,NA,67.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBAS","A2RRP1"
"83","FAM234B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIAA1467","A2RU67"
"84","WDR91",2154.4,1859,324.38,NA,290.49,NA,NA,NA,509.83,NA,9001.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR91","A4D1P6"
"85","KLRG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3978.2,NA,NA,NA,NA,NA,1083.9,NA,"KLRG2","A4D1S0"
"86","VPS37C",NA,NA,NA,NA,NA,NA,14256,2733.1,NA,NA,NA,NA,7380.8,1787.2,6750.4,NA,7798.4,NA,2247.4,NA,4136.6,NA,"VPS37C","A5D8V6"
"87","PEDS1",19086,NA,7345.6,NA,2419.7,NA,NA,NA,13758,NA,8188.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM189","A5PLL7"
"88","CNOT1",157.98,NA,NA,NA,262.67,NA,363.19,NA,593.05,NA,530.94,113.98,240.33,NA,185.75,NA,193.19,NA,NA,NA,141.86,NA,"CNOT1","A5YKK6"
"89","CARNS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARNS1","A5YM72"
"90","CDHR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDHR4","A6H8M9"
"91","GOLGA8O",NA,NA,NA,NA,NA,NA,3403.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOLGA8O","A6NCC3"
"92","PALM3",NA,409.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.72,NA,NA,NA,"PALM3","A6NDB9"
"93","RIMOC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5orf51","A6NDU8"
"94","BTBD17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BTBD17","A6NE02"
"95","TMEM221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237.7,NA,"TMEM221","A6NGB7"
"96","TUBAL3",NA,912.13,NA,NA,NA,1446.9,NA,1551.9,2114.2,2239.1,NA,2717.5,NA,NA,5726.3,1764.8,NA,719.94,2963.8,NA,282.97,677,"TUBAL3","A6NHL2"
"97","SMCHD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMCHD1","A6NHR9"
"98","CASTOR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GATSL2","A6NHX0"
"99","LILRA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539.2,NA,10065,NA,NA,NA,NA,NA,"LILRA5","A6NI73"
"100","CCDC69",NA,NA,1917.4,NA,NA,NA,1721.8,NA,NA,NA,1934.5,NA,974.55,NA,NA,NA,2309.4,NA,NA,NA,351.57,NA,"CCDC69","A6NI79"
"101","CD8B",NA,NA,3259.8,NA,2199.7,NA,784.35,NA,NA,NA,6319.2,NA,NA,NA,NA,NA,6478.3,NA,NA,NA,1108.5,NA,"CD8B","P10966"
"102","LRRC30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRRC30","A6NM36"
"103","SNTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNTN","A6NMZ2"
"104","C19orf38",NA,NA,NA,NA,NA,NA,8205.9,NA,NA,NA,NA,NA,5152.8,NA,9166.4,NA,14977,NA,965.81,NA,4376.7,NA,"HIDE1","A8MVS5"
"105","ELAPOR2",2052.2,NA,NA,NA,NA,NA,14935,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.453,NA,NA,NA,NA,NA,"KIAA1324L","A8MWY0"
"106","NUDT19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUDT19","A8MXV4"
"107","UPK3BL1",NA,NA,22487,30817,NA,NA,NA,9471.1,6898.5,1517.3,NA,NA,NA,NA,9740,7500.2,146790,40734,NA,NA,8360.1,6308.8,"UPK3BL","B0FP48"
"108","MYO1G",10601,2137.7,44172,9125.6,20703,824.96,34651,4663.8,11168,343.87,27796,656.41,14761,266.79,36527,NA,166540,5288.5,7571.1,2522.5,34556,3166.2,"MYO1G","B0I1T2"
"109","ESPN",NA,1692.3,NA,NA,NA,NA,NA,1333.3,902.09,4828.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11026,"ESPN","B1AK53"
"110","SMIM1",25329,8657.3,23612,7491.6,59964,1093.6,63472,2264.7,48986,NA,280210,7599.5,43278,NA,700.67,NA,982.17,NA,2138.2,NA,NA,NA,"SMIM1","B2RUZ4"
"111","GPR89B",8795.3,1709,1678.2,NA,3842,NA,2481.6,NA,5470.8,NA,4042.4,NA,NA,954.33,491.99,NA,NA,NA,NA,NA,5475.8,NA,"GPR89B","P0CG08"
"112","IGLL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGLL5","B9A064"
"113","RASA4",NA,NA,NA,NA,NA,NA,448.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,732.68,NA,NA,NA,NA,NA,"RASA4","O43374"
"114","INAFM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INAFM1","C9JVW0"
"115","PROB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PROB1","E7EW31"
"116","NACA",1666,468.06,450,436.45,1641.6,458.48,1379.1,715.16,2626.2,365.8,2270.2,449.39,183.86,1229.8,2751.4,594.06,2135.2,NA,262.86,NA,702.44,947.38,"NACA","E9PAV3"
"117","STMND1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STMND1","H3BQB6"
"118","SMIM22",78410,165820,5497,NA,14227,8171,349430,351860,NA,46995,NA,NA,423640,112600,NA,21783,NA,NA,73232,NA,NA,NA,"SMIM22","K7EJ46"
"119","AGPS",3827.8,2573.6,4053.8,233.71,3423.7,75.024,3324.9,1097,1052.5,NA,12760,185.1,256.28,NA,NA,NA,NA,NA,328.01,NA,76.658,NA,"AGPS","O00116"
"120","KIF2A",NA,NA,NA,NA,NA,NA,NA,NA,14955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIF2A","O00139"
"121","DDX39A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDX39A","O00148"
"122","PDLIM1",4257.3,1911.8,8240.8,26999,23417,NA,24826,2038.1,8683,3516.5,3041.5,NA,20208,4596,13884,NA,35333,NA,12400,NA,6424.6,NA,"PDLIM1","O00151"
"123","ACOT7",NA,NA,NA,NA,NA,NA,NA,NA,2638.5,NA,NA,NA,NA,NA,875.63,NA,NA,NA,NA,NA,NA,NA,"ACOT7","O00154"
"124","MYO1C",38017,23690,42327,25187,111550,28358,NA,NA,NA,NA,48181,42735,104600,57396,80576,16657,154040,6780.5,28060,12610,46912,16048,"MYO1C","O00159"
"125","MYO1F",2148.9,788.7,1953.5,1074.7,7022.6,2347.6,16813,1426.3,1315.2,NA,3192.8,380.77,9086.3,NA,15089,NA,69456,729.23,1848.6,299.1,2717.1,437.83,"MYO1F","O00160"
"126","SNAP23",47613,21265,30856,26870,90714,14355,85128,30343,32266,18771,26542,32633,78712,27794,105030,14211,209810,19706,31645,16664,NA,NA,"SNAP23","O00161"
"127","EYA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EYA2","O00167"
"128","FXYD1",NA,NA,NA,NA,13071,NA,17593,NA,NA,NA,NA,28475,5998.7,NA,NA,NA,11390,NA,NA,NA,4691.5,NA,"FXYD1","O00168"
"129","AIP",NA,NA,NA,NA,3777.6,NA,819.93,NA,2451.7,NA,NA,NA,292.01,NA,509.02,NA,4131.1,NA,NA,NA,NA,NA,"AIP","O00170"
"130","GTPBP1",NA,NA,NA,NA,5406.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GTPBP1","O00178"
"131","LGALS9",5853,5296.2,8453.8,5342.4,15381,15330,16329,12395,14269,2745.6,8445.4,16252,11706,3513.1,17163,753.66,17254,NA,6401.3,NA,1641.5,97.75,"LGALS9","O00182"
"132","STXBP3",29177,10015,13156,3115.7,18301,5848.5,41828,3278.9,28681,8098.4,14835,9412.8,52936,12168,67374,3670.9,112800,2219.8,14734,1923.3,35938,5359.7,"STXBP3","O00186"
"133","MASP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASP2","O00187"
"134","ARVCF",NA,NA,NA,NA,221.84,NA,NA,NA,360.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARVCF","O00192"
"135","RAB27B",9086.3,NA,4942.9,NA,3138.8,NA,20591,NA,NA,NA,4100.5,NA,8857.1,NA,NA,NA,46392,NA,1345.7,NA,6340.2,NA,"RAB27B","O00194"
"136","AP3B1",571.87,130.43,NA,NA,1558,438.68,356.31,NA,600.6,NA,10963,646.1,NA,NA,154.69,NA,90.745,NA,NA,NA,NA,NA,"AP3B1","O00203"
"137","TLR4",NA,NA,NA,NA,NA,NA,155.44,NA,NA,NA,NA,NA,NA,NA,758.45,NA,4210.8,NA,229.61,NA,NA,NA,"TLR4","O00206"
"138","LGALS8",NA,NA,NA,NA,12467,958.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LGALS8","O00214"
"139","PSMD11",1823.3,NA,288.88,NA,12505,NA,6052.1,NA,5972.3,NA,5916.1,NA,2634.3,NA,7965.4,NA,7820.9,NA,449.9,NA,2024,447,"PSMD11","O00231"
"140","PSMD12",2126.1,NA,611.59,NA,5497.6,NA,3011.3,NA,1427.3,NA,2402.1,3550.1,3733.4,NA,7776.4,447.8,6302.6,NA,NA,NA,2276.1,NA,"PSMD12","O00232"
"141","PSMD9",NA,NA,NA,NA,1770.7,NA,1409.6,NA,2580.6,NA,NA,NA,NA,NA,NA,NA,2022.6,NA,NA,NA,345.55,NA,"PSMD9","O00233"
"142","SIRPB1",NA,NA,179.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.94,NA,NA,NA,NA,NA,"SIRPB1","O00241"
"143","ATOX1",NA,NA,NA,NA,NA,NA,1179.2,NA,NA,NA,NA,NA,NA,NA,488.07,NA,5329.6,NA,1514.1,NA,1363.1,NA,"ATOX1","O00244"
