"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"4477","GBP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130.6,NA,NA,NA,NA,NA,"GBP3","Q9H0R5"
"4478","MAGT1",29828,4323.5,27160,2987.1,25171,2798.8,8741.7,3827.4,NA,NA,42348,NA,2704.9,NA,NA,NA,NA,NA,1014.1,NA,5712.7,1718.5,"MAGT1","Q9H0U3"
"4479","RAB1B",15929,17738,NA,8706.6,24101,9982.2,44377,5664.3,30298,18683,25611,15912,24777,3724.2,35790,10230,46810,9156.4,6562.9,NA,NA,NA,"RAB1B","Q9H0U4"
"4480","LMAN2L",7184.3,5198.9,NA,NA,6828.5,NA,8832.8,2687.2,19562,3254.8,13380,NA,458.79,NA,NA,NA,237.14,NA,NA,NA,3920.4,1000.2,"LMAN2L","Q9H0V9"
"4481","CCDC8",NA,NA,NA,NA,220.35,NA,1612.9,NA,NA,NA,NA,NA,NA,NA,211.74,NA,NA,NA,NA,NA,NA,NA,"CCDC8","Q9H0W5"
"4482","C11orf54",NA,NA,NA,NA,5612.2,NA,3556.8,NA,4207.8,NA,2073.8,NA,4383.6,NA,8351.1,NA,7516.8,NA,379.77,NA,8174.7,NA,"C11orf54","Q9H0W9"
"4483","FAM234A",NA,168.05,NA,NA,2771.8,NA,1889.8,NA,NA,NA,NA,NA,6336.7,NA,3244.6,NA,10501,NA,1541.8,NA,2379.1,NA,"ITFG3","Q9H0X4"
"4484","SIL1",NA,NA,NA,NA,NA,NA,NA,NA,285.22,NA,399.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIL1","Q9H173"
"4485","SDCBP2",NA,NA,NA,NA,NA,NA,NA,2270.7,NA,NA,NA,NA,13010,NA,6520,1485.8,2866.9,NA,NA,NA,NA,NA,"SDCBP2","Q9H190"
"4486","UNC93B1",36018,NA,8370,NA,35943,NA,9485.3,NA,21279,NA,7495.2,NA,3444.3,NA,418.73,NA,1522.7,NA,132.24,NA,2604.2,NA,"UNC93B1","Q9H1C4"
"4487","CYSTM1",NA,36482,75724,NA,40601,NA,35913,39354,49154,NA,39860,26940,47135,115430,57306,NA,27400,NA,15439,NA,35431,NA,"CYSTM1","Q9H1C7"
"4488","NUCKS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUCKS1","Q9H1E3"
"4489","TMX4",83264,4085.3,11486,NA,33114,1333.1,15429,1084,15877,NA,46525,NA,3492.2,NA,NA,NA,NA,NA,1366.9,NA,435.76,NA,"TMX4","Q9H1E5"
"4490","ASCC2",NA,NA,NA,NA,NA,NA,1453.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASCC2","Q9H1I8"
"4491","TLNRD1",NA,NA,NA,NA,1869.8,NA,3058.7,908.34,NA,NA,4790.9,NA,2473.5,NA,728.6,NA,9961.7,NA,711.36,NA,483.2,305.64,"MESDC1","Q9H1K6"
"4492","DNAJC25",2328.7,NA,NA,NA,NA,NA,753.23,NA,2302.3,NA,8146.9,NA,207.74,NA,211.47,NA,NA,NA,NA,NA,NA,NA,"DNAJC25","Q9H1X3"
"4493","ATG5",NA,NA,NA,NA,NA,NA,NA,NA,3938,NA,624.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATG5","Q9H1Y0"
"4494","EHD4",8411.7,9295.7,1570.7,12706,28912,24619,54385,40471,9056.9,11348,NA,22059,55315,13965,92619,11967,206400,8262.2,26103,7554.2,NA,NA,"EHD4","Q9H223"
"4495","P2RY12",NA,NA,NA,NA,NA,NA,824.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3487.5,NA,NA,NA,682.59,NA,"P2RY12","Q9H244"
"4496","C1orf21",2147.4,NA,NA,NA,2775.2,NA,1118.5,NA,7745.7,NA,NA,NA,537.88,NA,NA,NA,2005.4,NA,377.55,NA,NA,NA,"C1orf21","Q9H246"
"4497","CDH23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDH23","Q9H251"
"4498","CARD9",NA,NA,NA,1475.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARD9","Q9H257"
"4499","VPS33B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VPS33B","Q9H267"
"4500","VPS16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.55,NA,NA,NA,NA,NA,NA,NA,"VPS16","Q9H269"
"4501","VPS11",NA,NA,NA,NA,625.08,NA,NA,NA,NA,NA,238.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VPS11","Q9H270"
"4502","SH3BGRL3",19709,10733,NA,19327,20609,NA,60820,6899.7,NA,8895.6,NA,10633,47067,53496,67442,NA,25899,NA,55655,7289.6,38944,7842.8,"SH3BGRL3","Q9H299"
"4503","CXCL16",NA,NA,NA,NA,NA,NA,NA,NA,835.3,NA,262.06,NA,NA,NA,4673.5,NA,NA,NA,NA,NA,NA,NA,"CXCL16","Q9H2A7"
"4504","GAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.5,NA,NA,NA,NA,NA,"GAN","Q9H2C0"
"4505","TRIOBP",143.95,NA,951.86,NA,547.75,NA,481.79,NA,420.5,NA,330.93,NA,304.62,NA,300.77,NA,1296.9,NA,923.46,NA,940.46,NA,"TRIOBP","Q9H2D6"
"4506","HSD3B7",7717.2,NA,NA,NA,1115.2,NA,NA,NA,1688.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSD3B7","Q9H2F3"
"4507","SLK",2703.4,421.39,10602,259.06,10664,493.44,6280.2,861.17,9954.5,535.95,8810.2,1865.7,6155.5,2578.1,6490,NA,32539,NA,2050.5,NA,7213.3,1540.2,"SLK","Q9H2G2"
"4508","SLC38A1",11990,NA,NA,NA,NA,NA,NA,NA,10327,NA,191.46,NA,NA,NA,3619.4,NA,NA,NA,NA,NA,NA,NA,"SLC38A1","Q9H2H9"
"4509","TAOK3",588.09,NA,1198,NA,597.61,NA,3554.5,NA,4326.4,NA,7036.8,NA,2180.9,NA,871.13,NA,10291,NA,1343.3,NA,817.17,NA,"TAOK3","Q9H2K8"
"4510","RAB3GAP2",69.75,17.411,494.14,NA,119.02,NA,NA,NA,NA,NA,283.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB3GAP2","Q9H2M9"
"4511","DHX36",NA,NA,NA,NA,NA,NA,30153,NA,NA,NA,541.61,NA,17630,NA,18979,NA,27969,NA,22056,NA,6876.7,NA,"DHX36","Q9H2U1"
"4512","PPA2",NA,407.34,NA,NA,NA,NA,1171,NA,1977.5,NA,43.046,NA,NA,NA,1968.8,NA,NA,NA,193.44,NA,941.45,1434.5,"PPA2","Q9H2U2"
"4513","SPNS1",NA,NA,NA,NA,6247.6,NA,1593.5,NA,7646.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4142.7,NA,"SPNS1","Q9H2V7"
"4514","MS4A6A",4000,NA,NA,NA,NA,NA,56340,NA,NA,NA,NA,NA,15857,NA,24993,NA,31120,NA,7784.9,NA,9323.4,NA,"MS4A6A","Q9H2W1"
"4515","MRPL46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPL46","Q9H2W6"
"4516","CLEC4M",NA,NA,NA,NA,2388.9,NA,1877.1,1236.7,NA,NA,NA,NA,2721.4,NA,144.91,NA,32604,NA,683.79,NA,1640.6,NA,"CLEC4M","Q9H2X3"
"4517","PNN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3248.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PNN","Q9H307"
"4518","TTYH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTYH1","Q9H313"
"4519","TMEM245",1494.4,NA,NA,NA,2092.3,NA,2504.5,NA,NA,NA,6184.4,NA,152.5,NA,NA,NA,NA,NA,NA,NA,1670.8,NA,"TMEM245","Q9H330"
"4520","KCTD10",NA,NA,NA,NA,NA,NA,217.94,NA,159.59,NA,1067.4,NA,NA,NA,189.15,NA,912.04,NA,NA,NA,NA,NA,"KCTD10","Q9H3F6"
"4521","CPVL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPVL","Q9H3G5"
"4522","BOLA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2518.7,NA,NA,NA,9705.8,NA,NA,NA,446.02,NA,"BOLA2","Q9H3K6"
"4523","TXNIP",5074.8,599.54,15024,2217.6,12575,3037.5,10875,1453,4228.6,863.09,NA,3164.8,16969,6246.9,49542,3053.9,137280,3648.7,2028,669.9,10851,1871.5,"TXNIP","Q9H3M7"
"4524","TMX1",94630,11990,64780,3920.9,64244,2903.3,44046,6628,66417,2097.1,61948,3339.8,18526,NA,867.06,NA,1049.6,NA,6142.6,NA,19212,2605.4,"TMX1","Q9H3N1"
"4525","ACBD3",NA,NA,658.86,NA,NA,NA,575.12,NA,1673.6,NA,1124.8,NA,NA,NA,375.16,NA,564.15,NA,NA,NA,NA,NA,"ACBD3","Q9H3P7"
"4526","CDC42EP4",2407.5,NA,NA,NA,2280.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459.5,NA,NA,NA,NA,NA,"CDC42EP4","Q9H3Q1"
"4527","MUC13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MUC13","Q9H3R2"
"4528","PTPN23",NA,NA,NA,NA,586.62,NA,1600.2,NA,1118.3,NA,1357,517.8,2540.7,NA,2079.5,NA,2141,NA,2658.1,NA,763.76,NA,"PTPN23","Q9H3S7"
"4529","UNC45A",NA,NA,1110.5,NA,706.84,NA,723.5,NA,1435.4,NA,758.55,NA,202.94,NA,1263.7,NA,1599.3,NA,144.88,NA,119.41,NA,"UNC45A","Q9H3U1"
"4530","MFSD1",NA,NA,3268.6,NA,NA,NA,9637.7,NA,NA,NA,NA,NA,6982.7,NA,10868,NA,478.65,NA,168.75,NA,7536.1,NA,"MFSD1","Q9H3U5"
"4531","DNAJC5",182640,19940,94164,7211.6,136920,3785.5,151180,13916,158170,5010.3,110220,6902.2,48177,2685.5,100820,7380.9,339720,8513.2,22415,2678.9,54386,14871,"DNAJC5","Q9H3Z4"
"4532","LIME1",NA,NA,NA,NA,NA,NA,1577,NA,NA,NA,NA,NA,698.26,NA,NA,NA,5000.1,NA,NA,NA,NA,NA,"LIME1","Q9H400"
"4533","CHMP4B",NA,2158.1,NA,NA,7952.4,NA,18016,12294,27597,2249.2,3061.6,3650.7,64335,11464,122820,24687,56681,NA,9480.4,1661.9,25122,970.34,"CHMP4B","Q9H444"
"4534","RWDD1",NA,NA,NA,NA,NA,NA,7874.3,NA,NA,NA,NA,NA,4558,NA,NA,NA,7491.2,NA,1982.6,NA,2187.2,NA,"RWDD1","Q9H446"
