"","Suggested.Symbol","name","ID","U7","S7","B7","U8","S8","B8","U9","S9","B9","U10","S10","B10","U11","S11","B11","C1","C2","C3","C4","C5","U1","S1","B1","U2","S2","B2","U3","S3","B3","U4","S4","B4","U5","S5","B5","U6","S6","B6"
"1993","ME1","ME1","P48163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.42,0,0,0,0,0,0,0,0
"1994","TM4SF4","TM4SF4","P48230",3339.8,0,0,930.75,0,0,5635.5,0,0,562.11,0,0,0,0,0,0,0,0,0,0,75332,530.83,0,0,0,0,1874.1,0,0,1527,0,0,2060,0,0,0,0,0
"1995","TFPI2","TFPI2","P48307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842.1,0,2146.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996","PIP4K2A","PIP4K2A","P48426",7302.6,7125.1,0,8374.1,0,0,29393,0,0,3636.7,806.58,0,8373.5,1169.5,0,2235.3,0,2320.3,49509,0,10840,1410.9,0,15501,0,0,20994,0,0,10581,3907,0,6985.2,340.43,0,27723,1523.6,0
"1997","ARCN1","ARCN1","P48444",5246.2,0,0,12273,3438.2,0,7704.6,0,0,115.99,0,0,9094.2,775.94,0,954.9,0,865.62,0,0,7974.1,1902.2,0,7388.6,651.73,0,12310,2893.1,0,20998,6141.5,0,8945.3,3216.5,0,6936.6,6596.9,0
"1998","LSS","LSS","P48449",909.02,0,0,0,0,0,90.893,0,0,0,0,0,376.85,0,0,6803.2,0,25137,0,0,691.7,0,0,1702.3,0,0,12488,0,0,2585.9,0,0,6052,0,0,0,0,0
"1999","GCLC","GCLC","P48506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4943.5,0,16824,30327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000","GCLM","GCLM","P48507",0,0,0,1724.7,0,0,1172.9,0,0,0,0,0,387.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2253.8,0,0,0,0,0,3676.7,0,0,4147.9,0,0
"2001","CD151","CD151","P48509",74988,3620.4,0,60471,20725,0,156000,4991.1,0,23814,4264.9,0,51264,13217,0,17514,7236.1,19304,0,0,44312,24438,0,42760,11098,0,104750,5996.8,0,67036,15248,0,54588,19110,0,42245,9747.1,0
"2002","TRAPPC10","TRAPPC10","P48553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003","PSMD8","PSMD8","P48556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362.6,0,2732.6,0,0,0,0,0,0,0,0,1964.3,0,0,0,0,0,2482.5,385.25,0,0,0,0
"2004","SERPINB4","SERPINB4","P48594",0,0,0,0,0,0,1332.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1116.5,0,0,10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005","SERPINB10","SERPINB10","P48595",0,0,6577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.11,0,2393.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006","GSS","GSS","P48637",2978.6,0,0,8915,0,0,11422,0,0,13231,0,0,4280.4,0,0,0,531.48,0,0,0,0,0,0,0,0,0,0,0,0,1951.7,0,0,0,0,0,0,0,0
"2007","CCT5","CCT5","P48643",10915,1201.7,0,46193,11373,655.89,29536,1458.5,0,6785.6,1141,0,7347.6,10148,664.08,23327,0,27335,17148,1206.2,8630,2668.4,0,15462,2010.2,0,5305.1,2591.6,0,13188,7051.3,0,61590,16253,2347.7,23330,2248,852.88
"2008","PTDSS1","PTDSS1","P48651",0,0,0,225.7,0,0,0,0,0,0,0,0,4422.2,0,0,0,0,0,0,0,2184.2,0,0,0,0,0,0,0,0,1296.1,0,0,1373.4,0,0,1291.6,0,0
"2009","HSPA13","HSPA13","P48723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010","CSNK1A1","CSNK1A1","P48729",1481.4,0,0,2357,0,0,3728.8,0,0,258.96,0,0,362.66,0,0,1612.2,0,1805.8,1007.2,0,1763,0,0,0,0,0,0,0,0,2429,0,0,4357.9,0,0,334.02,0,0
"2011","IDH2","IDH2","P48735",168.69,271.09,0,239.98,0,0,633.39,717.3,0,234.85,497.76,0,146.56,3349.6,0,0,0,0,0,0,1866.7,5820.6,0,2899.4,9321.8,0,2026.8,1562.8,0,5385.3,3269.4,0,30684,6031.8,273.15,8658.3,2167.3,0
"2012","PITPNB","PITPNB","P48739",2868.2,975.48,0,10898,0,0,26753,0,0,693.13,0,0,975.75,0,0,0,0,0,35800,0,3012.7,0,0,8602.3,0,0,6124.1,0,0,13062,0,0,8013.5,0,0,2686.2,0,0
