"","Suggested.Symbol","name","ID","U7","S7","B7","U8","S8","B8","U9","S9","B9","U10","S10","B10","U11","S11","B11","C1","C2","C3","C4","C5","U1","S1","B1","U2","S2","B2","U3","S3","B3","U4","S4","B4","U5","S5","B5","U6","S6","B6"
"1","NUDT11","NUDT11","Q96G61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","IGKV3-7","IGKV3-7","A0A075B6H7",32688,12675,41167,65043,9559.4,371160,12726,5520.1,0,42839,17856,171280,43514,10935,1768.9,0,49317,0,0,0,0,13862,11620,0,10608,16077,0,10635,4554.3,22479,18574,5742.1,0,23817,0,0,6969,24506
"3","IGLV4-69","IGLV4-69","A0A075B6H9",144970,0,51802,175650,0,57406,267010,0,44937,516080,30142,72546,78404,10932,109660,28637,19263,64275,18935,0,22665,28630,94989,122420,79014,215960,16428,0,100980,323030,980.65,75669,101490,55512,221730,102900,0,79940
"4","IGLV8-61","IGLV8-61","A0A075B6I0",8521.2,0,88108,10949,0,55889,802.92,26178,24431,13107,9943.3,87935,7683,16818,8809.5,0,60976,0,0,0,0,67381,73408,0,29839,8778.6,0,12430,13984,5004.1,18018,7169.6,0,27948,0,0,0,18007
"5","IGLV4-60","IGLV4-60","A0A075B6I1",13865,0,11188,8937.1,0,0,0,0,0,57802,0,18313,14156,2173.2,8155.8,23818,0,0,0,0,0,7789.2,16622,0,0,0,0,0,16183,0,0,0,7124.8,6805.7,17531,0,0,19137
"6","IGLV10-54","IGLV10-54","A0A075B6I4",57203,0,13973,33611,0,0,15922,0,0,273030,0,0,71671,28606,69737,63045,0,0,0,0,0,103280,0,573110,0,339850,0,0,0,27368,0,0,0,0,0,554400,0,27885
"7","IGLV7-46","IGLV7-46","A0A075B6I9",0,0,0,43645,0,26683,0,0,94719,150220,0,95197,76132,0,0,0,96308,0,0,37089,0,0,113600,0,0,96813,0,0,14218,0,0,0,0,10340,0,0,0,0
"8","IGLV5-37","IGLV5-37","A0A075B6J1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.78,0,0,0,39479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7644.7,0,0,0
"9","IGLV2-18","IGLV2-18","A0A075B6J9",31471,17683,60153,43898,0,29158,7216.2,0,0,15436,0,23120,29130,0,0,26480,23180,37550,0,0,0,0,0,0,20196,0,0,0,45441,57975,58271,135630,0,93951,0,0,0,0
"10","IGLV3-16","IGLV3-16","A0A075B6K0",54816,0,75091,52173,11543,122880,18527,0,46938,142780,0,230110,65303,45905,277000,0,13089,0,418790,80827,0,46965,0,248980,0,238720,67360,0,123670,71464,0,315930,310310,75070,651030,375980,0,0
"11","IGLV3-12","IGLV3-12","A0A075B6K2",0,0,1020.3,0,0,0,0,0,0,10113,0,9607.5,0,0,6250.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","IGLV3-10","IGLV3-10","A0A075B6K4",454960,0,775840,342390,0,148860,130380,0,700990,698750,51014,467850,608320,39393,20291,235600,60197,324020,0,486170,18203,0,506390,414740,0,1297900,0,0,70129,146140,0,517710,84989,238830,202580,242780,0,75000
"13","IGLV3-9","IGLV3-9","A0A075B6K5",616530,20839,242570,134580,68676,550570,1148800,108470,151450,329500,62757,155200,152520,85540,242090,71360,37346,0,0,33613,105040,9735.3,298650,16693,30702,224120,0,61294,199400,119090,3159.9,43596,178710,223780,436940,8605.1,0,80678
"14","IGKV2D-28","IGKV2D-28","A0A075B6P5",4212.8,0,0,22247,0,0,8646,0,0,15631,0,0,21560,0,0,9304,9846,0,0,0,6137.8,0,0,20534,0,31684,0,0,0,17069,0,0,0,0,5500.5,0,0,0
"15","IGHV3-64","IGHV3-64","A0A075B6Q5",33331,0,22569,15344,0,5972.8,0,0,0,11978,0,0,0,0,0,0,7978.5,0,0,0,0,526.57,0,0,0,0,0,0,0,0,0,6558.1,0,0,72936,0,0,0
"16","IGHV4-4","IGHV4-4","A0A075B6R2",0,0,0,1289.1,0,10720,2387.1,0,5530.7,0,0,7717.7,11212,2175.6,13888,0,0,3404.4,0,0,4241.9,2124.5,1108.2,6831.9,0,10001,0,0,0,4185.7,4258.5,8341.7,24536,2222.8,30926,1639.9,0,0
"17","IGKV2-24","IGKV2-24","A0A0C4DH68",170840,0,51284,129700,7006.8,163490,60452,0,5008.6,266130,36622,184670,189570,20080,39378,88377,120830,19404,0,76658,20662,21905,25091,25889,17105,0,0,9720.7,18098,171290,43438,67677,37267,52622,0,29922,0,0
"18","IGKV2D-29","IGKV2D-29","A0A075B6S2",415340,49478,414350,548820,94655,541610,274710,150570,441340,479660,126320,405440,520260,179060,260610,590650,292360,540480,36207,168200,76333,135840,67623,84959,217750,79389,119260,92308,2599.4,436140,297360,379050,109730,289820,194570,65764,0,326120
"19","IGKV1D-17","IGKV1D-17","A0A075B6S4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8327.2,0,0,0
"20","IGKV1-27","IGKV1-27","A0A075B6S5",6861.2,0,22705,10696,0,22213,16345,2737.2,22826,109310,8488.5,39172,27972,0,27968,32096,7350.9,28300,15904,9435,14289,3852.8,32900,72998,4045.5,29953,6716.7,0,14269,14866,4459.7,36307,45223,0,60279,22150,0,4742.5
"21","IGKV1D-37","IGKV1D-37","P0DSN7",0,0,0,10163,0,34270,0,0,30817,12114,0,110320,2631.1,0,0,0,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","IGHV3OR16-12","IGHV3OR16-12","A0A075B7B8",64438,0,0,121510,0,0,0,0,0,58376,0,6155.3,173110,0,0,0,136610,0,0,0,0,0,8488.5,0,0,0,0,6502.1,0,79874,0,0,0,0,0,0,0,0
"23","IGHV1OR15-1","IGHV1OR15-1","A0A075B7D0",52333,0,0,55498,0,3867.1,15221,3126.8,8650.7,1689.7,0,3089.2,60379,3584.2,24102,0,0,9589,0,0,0,2501.1,8087.6,4176.8,31048,97238,0,0,4887.3,0,0,0,12604,17764,0,0,0,4521.5
"24","IGHV3OR15-7","IGHV3OR15-7","A0A075B7D8",4072.2,0,0,23687,0,0,0,0,0,0,0,28522,43004,0,11077,30404,18179,52164,0,0,0,0,76673,0,0,8884,0,0,0,12416,0,0,0,0,0,0,0,0
"25","IGHV4-31","IGHV4-31","A0A087WSY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9854.3,0,0,0
"26","IGKV1D-8","IGKV1D-8","A0A087WSZ0",0,0,0,11544,0,18089,1899.6,0,27757,19456,0,30140,4692,0,0,5964.4,0,3530.8,0,0,0,0,16288,0,0,20419,0,0,26167,0,6299.5,27229,0,0,26812,0,0,14325
"27","TMEM265","TMEM265","A0A087WTH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12646,0,0,3965,0,0
"28","IGKV2-40","IGKV2-40","P01614",6505.3,0,16101,11348,0,17856,0,0,0,20982,0,17674,16996,0,3703,0,0,3650.7,0,0,0,0,25756,0,0,0,0,0,29534,1814.6,0,26658,0,0,0,0,0,20232
"29","IGHV1-45","IGHV1-45","A0A0A0MS14",0,0,0,4881.3,0,4714.2,1320.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","IGHV3-49","IGHV3-49","A0A0A0MS15",65997,0,64785,88313,11750,86979,34425,17790,86437,46779,8288.9,44702,98592,23613,25248,55267,21595,46704,0,11477,16108,38778,131020,1881.3,50229,17335,0,0,45403,47714,23307,52213,0,37629,46799,0,3914,31711
"31","IGKV6D-21","IGKV6D-21","A0A0A0MT36",19368,0,11577,15840,0,14813,18714,0,70032,36383,0,17274,20043,1423.9,33265,15265,4733.9,25851,0,11578,4840.7,6079.8,19625,13911,14789,22849,0,0,13688,7917.7,0,37352,0,2364.5,29027,0,0,4809.8
"32","IGLV1-36","IGLV1-36","A0A0B4J1U3",118470,0,172530,81514,0,121940,8304.4,0,17999,41434,0,42177,78536,18848,16290,52902,0,48063,0,13325,20809,48895,193450,0,42632,52998,0,0,100020,30083,0,57137,0,115030,0,0,14218,101410
"33","IGHV6-1","IGHV6-1","A0A0B4J1U7",10364,0,0,10796,0,52612,18443,0,5386.4,29086,0,17016,22052,0,0,49104,22130,58283,0,0,10419,8139.2,42397,0,25360,65422,9189,0,0,25590,0,8561.8,0,6914.7,0,0,0,0
"34","IGHV3-15","IGHV3-15","A0A0B4J1V0",51600,0,16691,80625,8837.5,5253,21067,6086.5,7650.1,103310,8299.2,2591.6,53376,816.01,11176,32169,5213.6,18628,11867,10642,17659,29620,57716,49063,35045,0,0,0,22630,89613,15846,62609,141220,69832,189640,51153,0,4754.2
"35","IGHV3-21","IGHV3-21","A0A0B4J1V1",306800,13394,213440,327750,1868.5,392680,136540,23170,162660,378670,32087,209760,248640,85565,108190,484090,205010,201630,0,23821,0,101280,360400,44880,125860,154430,27868,4894.5,77721,182790,53047,199960,1543.9,232180,400880,0,0,81075
"36","IGHV2-26","IGHV2-26","A0A0B4J1V2",9994.5,0,8702.5,9510.7,0,15642,0,0,13163,149440,4780,206720,11545,0,17277,27139,0,8815.8,64541,0,0,0,50637,62696,3329.2,85894,0,0,26596,5357.4,0,60047,70890,2994.7,23265,0,0,9348.9
"37","IGHV3-73","IGHV3-73","A0A0B4J1V6",38579,0,30964,85584,0,39554,24276,0,0,59326,0,16712,47933,13605,16935,4886.5,0,0,0,0,4186.6,30974,3746.3,10160,29823,18795,0,0,14069,48942,0,25943,52894,4786.5,2276,0,0,0
"38","IGHV3-74","IGHV3-74","A0A0B4J1X5",31569,0,0,16107,0,5448.1,10861,0,0,18037,0,0,13335,2097.1,6433.1,22844,20036,16708,0,0,10486,5107.9,8911.9,0,12644,28603,0,0,5979.4,28064,0,14672,0,26099,29686,0,0,0
"39","IGHV3-43","IGHV3-43","A0A0B4J1X8",67500,0,45999,15890,0,13621,4890,0,21521,33900,0,12029,7173.1,4428.8,37272,12289,0,0,0,0,0,2277,18650,0,0,0,0,0,21639,6558.7,0,19417,43526,9244.9,105910,0,0,13630
"40","IGLV9-49","IGLV9-49","A0A0B4J1Y8",0,0,0,0,0,5656.5,0,0,0,0,0,2896.5,0,0,606.06,0,0,0,0,0,0,0,17535,0,0,0,0,0,0,0,0,0,0,0,0,17623,0,4970.7
"41","IGHV3-72","IGHV3-72","A0A0B4J1Y9",101800,0,39573,168750,15164,148250,44927,0,73620,212760,21184,38761,192130,30911,66452,106950,55015,170930,0,14694,15023,53068,300280,17227,0,47321,1655.3,26007,50885,169780,44012,19833,0,26425,16082,6877,9492.7,45954
"42","P0DPI2","P0DPI2","P0DPI2",2423.2,0,0,3137.1,0,0,0,0,0,4501.3,0,0,4146,1980.8,0,0,0,0,0,0,0,1677.4,0,0,1184.4,0,0,0,0,0,1493.5,0,0,0,0,0,0,0
"43","IGKV1D-13","IGKV1D-13","P0DP09",0,0,0,0,0,12550,0,7871.2,46024,734480,119150,583140,46123,11442,18758,26413,6331.5,4093.8,14455,17200,0,0,11923,0,0,0,0,0,35705,9476.9,0,7955,0,0,4055.2,0,0,24067
"44","SIK1","SIK1","P57059",0,0,0,0,2866.5,0,0,7360.5,1191.9,0,1490.6,0,0,2299.6,0,0,0,0,0,0,0,2235.7,960.25,0,2271.1,0,0,0,1373.9,0,0,0,0,7529,0,0,1176.9,0
"45","IGHV1-69-2","IGHV1-69-2","A0A0B4J2H0",21193,0,29957,29113,0,41491,0,0,47706,70780,12897,104920,45854,9324.9,33150,4745.4,0,0,0,0,0,12730,118130,0,47936,18781,0,0,39724,11842,0,21765,0,72800,83671,0,0,15632
"46","IGKV6-21","IGKV6-21","A0A0C4DH24",24932,0,17472,26934,0,26481,0,0,0,67636,0,76429,25607,0,0,14096,0,19158,0,0,0,0,25250,0,0,0,0,0,25276,0,0,0,0,0,0,0,0,13868
"47","IGKV3D-20","IGKV3D-20","A0A0C4DH25",4626.7,0,25233,23435,0,61358,0,0,0,0,0,32342,0,0,0,0,28973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","IGHV1-3","IGHV1-3","A0A0C4DH29",200260,0,66098,144520,22768,133260,61030,27357,186720,201530,25826,150900,120210,48505,140060,46414,33870,0,0,0,2231.8,60562,167300,0,77869,9577.6,0,10077,76783,16427,0,33519,0,59521,0,0,4493.2,44523
"49","IGHV1-18","IGHV1-18","A0A0C4DH31",55693,0,91946,18012,0,206480,67710,15281,0,63587,12607,189040,63323,21671,0,53840,0,0,0,0,0,57969,146250,0,31098,24972,6949.6,0,113120,0,0,38498,0,245120,65246,0,0,119810
"50","IGHV3-20","IGHV3-20","A0A0C4DH32",0,0,0,0,0,6343,1525.9,0,0,4831.7,0,0,0,39214,6770.1,0,0,0,0,0,0,60672,24369,0,66350,96973,0,0,3076.3,642.22,0,16847,22417,3020.3,67983,0,0,1986
"51","IGHV1-24","IGHV1-24","A0A0C4DH33",9889.6,0,17482,17455,0,21275,36187,20296,207210,36715,0,23298,28940,7157.6,15606,36073,2922.5,33269,0,16898,8028.7,9658.5,78375,0,33872,73656,5966.6,0,41643,31469,0,104930,0,19848,54666,0,0,21732
"52","IGHV4-28","IGHV4-28","A0A0C4DH34",4250.7,0,0,0,0,0,0,0,0,1632.5,0,0,4118.1,0,0,0,9847.4,0,0,0,0,0,15936,0,0,0,0,0,0,6793.5,0,31422,0,0,0,0,0,0
"53","IGHV3-35","IGHV3-35","A0A0C4DH35",1745.4,0,0,2155.9,0,69780,555.62,0,4733.4,8910.8,0,242860,0,0,7880.9,8898.9,22488,0,0,0,0,0,0,0,0,6969.5,0,0,0,1421.8,0,0,0,0,160040,0,0,0
"54","IGHV3-38","IGHV3-38","A0A0C4DH36",49123,0,45846,53068,0,58105,0,0,8578.5,112680,0,76349,46655,5108.7,17186,16817,13218,0,0,16824,0,15548,58782,0,7420.8,11270,43004,4760.2,74275,27121,8375.9,23783,0,8505.4,5052.9,0,0,38613
"55","IGHV5-51","IGHV5-51","A0A0C4DH38",403140,14971,357330,361660,48047,351990,139700,87998,146720,520110,45883,267960,312800,52194,31110,239550,75118,181010,0,0,28327,117140,322550,0,166370,152210,0,11162,76673,284840,119410,238960,0,297220,64452,0,15900,113420
"56","IGHV1-58","IGHV1-58","A0A0C4DH39",5737.1,0,20690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","IGHV4-61","IGHV4-61","A0A0C4DH41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972.8,0,0,0,0,0,0,0,0,0,0,0,0
"58","A0A0C4DH43","A0A0C4DH43","A0A0C4DH43",34586,0,9267.4,8187,0,0,19707,0,13745,45679,0,13787,13998,0,0,19255,30278,84914,0,0,0,0,6023.7,0,6979.2,26436,0,0,6879.2,17630,0,22443,0,6073.5,5457.4,0,0,18675
"59","IGKV1-8","IGKV1-8","A0A0C4DH67",334790,35605,574410,276090,24574,278180,60496,15031,228780,806290,49321,232290,124440,39419,40219,152660,47909,18067,37178,23427,20608,54286,211470,140990,55550,152400,8446.7,45897,167140,73777,115590,163770,111870,51521,188810,42905,19844,100870
"60","IGKV1-6","IGKV1-6","A0A0C4DH72",144180,0,315050,184300,10598,311070,16844,0,19413,148820,7796.6,189840,153150,6338.3,4322.6,0,5830.9,0,0,0,0,38797,144700,0,53915,0,0,6348.5,149110,69838,11082,59455,0,75291,8675.2,0,0,135710
"61","IGKV1-12","IGKV1-12","A0A0C4DH73",0,0,0,16329,0,0,2018.6,0,0,183980,0,137680,5602.8,0,18508,8345.2,0,0,10941,32295,8632.8,0,3586.7,112710,0,29406,0,0,0,30004,0,25685,41362,0,85775,0,0,0
"62","HLA-DRA","HLA-DRA","P01903",348580,62490,0,603650,89442,0,2982800,657400,0,228340,94222,0,305640,162210,0,165.88,72152,0,454250,0,225810,157420,0,136600,167890,0,450200,140850,0,463740,179930,0,247300,195540,0,149700,181580,1280.8
"63","A0A0G2JRQ6","A0A0G2JRQ6","A0A0G2JRQ6",17958,0,4966.9,0,0,5037.1,542.85,0,19691,3869.6,0,0,0,0,765.59,0,0,0,30397,0,0,0,0,0,0,7309.6,0,0,0,0,0,0,0,0,9295.4,9639.9,0,0
"64","IGLV5-45","IGLV5-45","A0A0G2JS06",843.26,0,0,1023.9,0,0,0,0,0,1769.1,0,5112.9,0,0,2502.1,2078.1,0,4648.4,63322,51994,8224.2,1138.6,0,217120,0,54112,4854.8,0,0,3773.7,0,15622,6031.3,0,13373,73084,0,0
"65","A0A0J9YVY3","A0A0J9YVY3","A0A0J9YVY3",0,0,0,0,0,0,0,0,0,0,0,0,6010.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","A0A0J9YX35","A0A0J9YX35","A0A0J9YX35",0,0,0,0,0,0,0,17528,34516,119490,0,0,3499.6,0,0,52349,29680,0,0,2138.1,0,0,19300,0,0,10823,0,0,0,1987.6,0,0,0,0,22907,0,0,0
"67","A0A0J9YXX1","A0A0J9YXX1","A0A0J9YXX1",0,0,0,0,0,14210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","A0A0J9YY99","A0A0J9YY99","A0A0J9YY99",7451.3,0,7272.7,6198.4,0,7777,6487,0,7913.9,9949.4,0,0,5573.7,0,0,0,0,9030.7,0,0,0,0,7210.6,0,0,0,0,0,0,4443.2,0,0,0,3824.8,0,0,0,0
"69","A0A1B0GV96","A0A1B0GV96","A0A1B0GV96",1079.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47900,0,519820,0,0,0,0,0,0,0,0,0,0,20371,12462,0,0,0,0,0,0,0
"70","A0A1B0GWB2","A0A1B0GWB2","A0A1B0GWB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7473.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","RBM47","RBM47","A0AV96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.438,0,0,0,0,0,3759.8,0,0,717.21,0,0
"72","TTC26","TTC26","A0AVF1",0,0,0,0,0,0,0,0,0,0,0,0,3278.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.41,0,0,0,0,0,0,0,0
"73","UBA6","UBA6","A0AVT1",1311.1,0,0,2045,0,0,4551.6,0,0,103.97,0,0,161.71,0,0,886.7,0,0,1006.3,0,718.25,0,0,680.52,0,0,928.78,253.53,0,1555.6,0,0,2623.9,178.75,0,245.57,348.03,0
"74","ESYT2","ESYT2","A0FGR8",2564.6,0,0,1235.9,0,0,671.4,0,0,658.87,0,0,3249.6,232.51,0,2082.3,0,9420.6,0,0,38218,3105.7,0,5484.7,0,0,13900,146.72,0,8114.6,671.36,0,39138,8962.5,0,13235,198.59,0
"75","IGLC7","IGLC7","A0M8Q6",33967,0,122530,8095.8,6419.1,17407,14536,4421.3,52651,30820,5130,40946,12563,5168.7,22713,10335,0,8190.4,44768,30083,13808,20106,90159,9206.2,3231,0,0,0,362260,23319,8630.6,134570,26266,33765,296580,10507,1911.5,375770
"76","GXYLT2","GXYLT2","A0PJZ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.48,0,0,563.85,0,0,327.45,0,0,0,0,0,0,0,0,5134.4,0,0
"77","SLC22A23","SLC22A23","A1A5C7",0,0,0,348.79,0,0,0,0,0,0,0,0,2513.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.16,0,0,0,0,0,0,0,0
"78","ARHGEF37","ARHGEF37","A1IGU5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","ILVBL","ILVBL","A1L0T0",16161,0,0,1476.3,0,0,158.03,0,0,1627.8,0,0,28845,3595.3,17239,4857.7,0,16583,0,4154.7,242240,17294,0,44407,3272,0,100360,4503,0,53085,9898.1,0,168880,4566.3,745.68,111880,3280.7,0
"80","PLEKHG3","PLEKHG3","A1L390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.1,0,0,0,0,0,0,0,1731.2,0,0,0,0,0,0,0,0,0,0,0
"81","SSC5D","SSC5D","A1L4H1",0,12060,0,0,122140,1292.1,0,61698,0,0,178780,227.68,0,196510,128.52,0,0,0,0,0,0,109940,0,0,102830,0,0,54141,0,0,81067,0,0,79067,0,0,108420,2844.8
"82","NBAS","NBAS","A2RRP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045.7,0,0,127.53,0,0,669.87,0,0,0,0,0,0,0,0,67.917,0,0
"83","FAM234B","KIAA1467","A2RU67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","WDR91","WDR91","A4D1P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.07,0,0,0,0,2154.4,1859,0,324.38,0,0,290.49,0,0,0,0,0,509.83,0,0,9001.9,0,0
"85","KLRG2","KLRG2","A4D1S0",0,0,0,3978.2,0,0,0,0,0,0,0,0,1083.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","VPS37C","VPS37C","A5D8V6",7380.8,1787.2,0,6750.4,0,0,7798.4,0,0,2247.4,0,0,4136.6,0,0,0,3226.6,0,7531.2,0,0,0,0,0,0,0,0,0,0,14256,2733.1,0,0,0,0,0,0,0
"87","PEDS1","TMEM189","A5PLL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19086,0,0,7345.6,0,0,2419.7,0,0,0,0,0,13758,0,0,8188.2,0,0
"88","CNOT1","CNOT1","A5YKK6",240.33,0,0,185.75,0,0,193.19,0,0,0,0,0,141.86,0,0,0,0,0,0,0,157.98,0,0,0,0,0,262.67,0,0,363.19,0,0,593.05,0,0,530.94,113.98,0
"89","CARNS1","CARNS1","A5YM72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,0,0
"90","CDHR4","CDHR4","A6H8M9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","GOLGA8O","GOLGA8O","A6NCC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14229,0,0,0,0,0,0,0,0,0,0,3403.4,0,0,0,0,0,0,0,0
"92","PALM3","PALM3","A6NDB9",0,0,0,0,0,0,0,0,0,495.72,0,0,2695.1,0,99.486,0,0,0,0,0,0,409.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","RIMOC1","C5orf51","A6NDU8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","BTBD17","BTBD17","A6NE02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","TMEM221","TMEM221","A6NGB7",0,0,0,0,0,0,0,0,0,0,0,0,2237.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","TUBAL3","TUBAL3","A6NHL2",0,0,0,5726.3,1764.8,0,0,719.94,0,2963.8,0,0,282.97,677,0,0,0,0,0,0,0,912.13,0,0,0,0,0,1446.9,0,0,1551.9,0,2114.2,2239.1,0,0,2717.5,0
"97","SMCHD1","SMCHD1","A6NHR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","CASTOR2","GATSL2","A6NHX0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","LILRA5","LILRA5","A6NI73",0,0,0,1539.2,0,0,10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","CCDC69","CCDC69","A6NI79",974.55,0,0,0,0,0,2309.4,0,0,0,0,0,351.57,0,0,0,0,2914.7,0,0,0,0,0,1917.4,0,0,0,0,0,1721.8,0,0,0,0,0,1934.5,0,0
"101","CD8B","CD8B","P10966",0,0,0,0,0,0,6478.3,0,0,0,0,0,1108.5,0,0,0,0,0,0,0,0,0,0,3259.8,0,0,2199.7,0,0,784.35,0,0,0,0,0,6319.2,0,0
"102","LRRC30","LRRC30","A6NM36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206.7,0,0,0,0,0,0,0,0,0
"103","SNTN","SNTN","A6NMZ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","C19orf38","HIDE1","A8MVS5",5152.8,0,0,9166.4,0,0,14977,0,0,965.81,0,0,4376.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8205.9,0,0,0,0,0,0,0,0
"105","ELAPOR2","KIAA1324L","A8MWY0",0,0,0,0,0,0,86.453,0,0,0,0,0,0,0,0,0,0,0,0,0,2052.2,0,0,0,0,0,0,0,0,14935,0,0,0,0,0,0,0,0
"106","NUDT19","NUDT19","A8MXV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","UPK3BL1","UPK3BL","B0FP48",0,0,0,9740,7500.2,0,146790,40734,0,0,0,0,8360.1,6308.8,0,0,0,0,0,0,0,0,0,22487,30817,0,0,0,0,0,9471.1,0,6898.5,1517.3,0,0,0,0
"108","MYO1G","MYO1G","B0I1T2",14761,266.79,0,36527,0,0,166540,5288.5,0,7571.1,2522.5,0,34556,3166.2,0,0,0,0,1252.4,0,10601,2137.7,0,44172,9125.6,0,20703,824.96,0,34651,4663.8,0,11168,343.87,0,27796,656.41,0
"109","ESPN","ESPN","B1AK53",0,0,0,0,0,0,0,0,0,0,0,0,0,11026,0,0,0,0,49320,0,0,1692.3,0,0,0,0,0,0,0,0,1333.3,0,902.09,4828.9,0,0,0,0
"110","SMIM1","SMIM1","B2RUZ4",43278,0,0,700.67,0,0,982.17,0,0,2138.2,0,0,161700,63834,1884.2,13270,0,7829.6,8614,0,25329,8657.3,0,23612,7491.6,0,59964,1093.6,0,63472,2264.7,0,48986,0,0,280210,7599.5,0
"111","GPR89B","GPR89B","P0CG08",0,954.33,0,491.99,0,0,0,0,0,0,0,0,5475.8,0,0,0,0,614.65,0,0,8795.3,1709,0,1678.2,0,0,3842,0,0,2481.6,0,0,5470.8,0,0,4042.4,0,0
"112","IGLL5","IGLL5","B9A064",4308000,286500,5049600,3166900,1177600,4236700,2344900,2150700,4747300,5984100,1806400,5815100,4511600,2352000,5085100,2678200,2303800,3242300,1209400,2754200,2175800,2378400,5052200,2317300,2047800,3814200,1609500,939460,4013200,3764900,2159700,5300000,1883700,3365300,6352500,1669300,891930,3183700
