"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"333","CD59",1,1,1,1,1,1,1,1,1,1,1
"334","FOLR2",1,1,1,1,1,1,1,1,1,1,1
"335","CD99",1,1,1,1,1,1,1,1,1,1,0
"338","AKR1A1",1,1,1,1,1,1,1,1,0,1,1
"343","DARS1",1,1,1,1,1,1,1,0,1,1,1
"345","RAC2",1,1,1,1,1,1,1,1,1,0,1
"347","FOLR1",1,1,0,1,1,1,1,1,0,1,1
"349","RPS2",1,1,1,1,1,0,1,1,1,1,0
"350","MUC1",1,1,1,1,0,1,1,0,1,1,1
"355","CBR1",1,1,1,1,1,1,1,1,1,0,1
"357","PECAM1",1,1,1,1,1,1,1,1,1,1,1
"362","CD36",1,1,1,1,0,1,1,1,0,1,1
"366","CAPN2",1,1,0,1,1,1,1,1,1,0,1
"367","ENG",1,1,1,1,1,0,1,1,1,1,1
"368","PFKL",1,1,1,1,1,0,1,1,1,1,0
"377","RPL17",1,1,1,1,1,1,1,1,0,0,1
"384","ATP2B1",1,1,1,1,1,1,1,1,1,1,1
"385","HLA-DPA1",1,1,1,1,1,1,1,1,1,1,1
"386","ANXA7",1,1,1,1,1,1,1,1,1,1,1
"390","M6PR",1,1,1,1,1,1,1,1,1,0,1
"391","ITGAL",1,1,1,1,0,1,0,1,1,1,1
"400","NT5E",1,1,1,1,1,1,1,0,1,1,1
"405","CD9",1,1,1,1,1,0,1,0,1,1,1
"409","PCMT1",1,1,1,1,1,1,1,1,1,1,1
"417","CALB2",1,1,0,1,1,1,1,0,1,1,1
"420","TGM1",1,1,1,1,1,1,1,1,1,1,1
"421","MRC1",1,1,1,1,1,1,1,1,1,1,1
"424","ITGA6",1,1,1,0,1,1,1,0,1,1,1
"428","JAK1",1,1,1,1,0,1,1,0,1,1,1
"432","ATP2B4",1,1,1,1,1,1,1,1,1,1,0
"435","ATP5PB",1,1,1,1,1,1,1,0,0,1,1
"437","RPS12",1,1,1,1,0,1,1,1,1,1,1
"438","FAS",1,1,1,1,1,1,1,0,1,1,1
"439","ATP5F1A",1,1,1,1,1,1,1,1,0,1,0
"442","ITGA3",1,1,1,1,1,1,1,1,1,1,0
"443","ITGB8",1,1,1,0,1,1,1,1,1,1,0
"446","CTNNA2",1,1,1,1,1,1,1,1,0,1,1
"450","EEF1G",1,1,1,1,0,1,1,0,1,1,1
"452","STOM",1,1,1,1,1,1,1,1,1,1,1
