"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"102","DPM1",1,0,0,0,0,0,0,0,0,0,1
"103","H2BC9",1,1,1,1,1,0,0,0,0,1,0
"104","PRAF2",1,1,0,1,1,0,0,0,0,0,0
"105","DNAJA2",1,0,1,0,1,1,0,1,0,0,1
"106","SRGAP2",1,0,0,1,1,0,1,0,0,0,1
"107","FAM20B",1,0,0,0,0,0,0,0,0,0,0
"108","WDR1",1,1,1,1,1,1,1,0,1,1,1
"109","CPNE3",1,1,1,0,1,0,1,0,1,1,1
"110","DNAJC13",1,0,1,1,1,1,1,0,0,0,1
"111","GGCT",1,0,0,0,0,0,0,0,0,1,0
"112","CILP",1,1,0,0,1,0,0,0,1,1,0
"113","TBCA",1,0,0,0,0,1,1,0,0,0,0
"114","ATP6V1G1",1,1,0,1,1,1,1,1,0,0,1
"115","VPS4B",1,0,0,1,0,1,1,1,0,0,1
"116","MPDU1",1,1,1,1,1,1,1,0,0,0,1
"117","MACROH2A1",1,0,1,1,1,1,1,1,1,1,0
"118","FLNB",1,1,1,1,0,1,1,1,0,0,0
"119","SEC22B",1,1,1,1,1,1,1,1,0,1,1
"120","ERLIN1",1,0,0,1,0,0,0,0,0,0,0
"121","GPC4",1,1,0,0,1,1,1,1,0,1,1
"122","STX11",1,1,1,1,1,1,1,0,1,0,1
"123","PGLYRP1",1,1,0,0,0,0,0,0,0,0,0
"124","RP2",1,1,1,1,1,1,1,1,1,1,1
"125","CRTAP",1,0,0,1,0,0,0,0,0,1,0
"126","PALM",1,1,0,1,0,1,1,0,0,0,0
"127","UPK1B",1,1,1,1,1,0,1,0,1,0,1
"128","ZMPSTE24",1,1,1,1,1,0,0,0,0,0,0
"129","CYP7B1",1,0,0,1,0,0,0,0,0,1,0
"130","STAM2",1,0,1,0,0,0,0,0,0,0,0
"131","DGAT1",1,0,0,1,0,0,0,0,0,0,1
"132","ARL6IP5",1,1,1,1,1,1,1,0,0,1,1
"133","ATP5PD",1,1,1,1,0,1,0,0,0,0,1
"134","TSPAN9",1,0,0,1,0,1,1,1,0,0,1
"135","FLOT1",1,1,1,1,1,1,1,1,1,1,1
"136","GLRX3",1,0,0,0,1,0,0,1,0,0,0
"137","WFS1",1,0,0,0,0,0,0,0,0,0,0
"138","SRP72",1,0,0,0,0,0,0,0,0,0,0
"139","B3GAT3",1,0,0,0,0,0,0,0,0,0,0
"140","STK10",1,1,1,1,1,1,1,1,1,1,1
"141","TOMM70",1,0,0,0,0,0,0,0,0,0,0
"142","MYO1D",1,1,1,1,1,1,1,0,1,1,1
"143","ERLIN2",1,1,1,1,1,1,1,0,0,1,1
"144","ENDOD1",1,0,0,0,1,0,0,0,0,0,1
"145","AP2A2",1,1,1,1,1,1,1,1,0,0,1
"146","SEC31A",1,0,1,1,1,1,0,1,0,0,1
"147","ZFPL1",1,0,0,0,0,0,0,0,0,0,1
