"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"61","SURF4","SURF4","O15260",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"62","SPTLC1","SPTLC1","O15269",1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"63","SPTLC2","SPTLC2","O15270",1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0
"64","TM9SF1","TM9SF1","O15321",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","EIF3H","EIF3H","O15372",1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1
"66","STX7","STX7","O15400",1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
"67","SLC16A3","SLC16A3","O15427",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"68","P4HA2","P4HA2","O15460",1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
"69","YKT6","YKT6","O15498",1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
"70","TAPBP","TAPBP","O15533",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"71","CLDN3","CLDN3","O15551",1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0
"72","FLRT2","FLRT2","O43155",1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
"73","CYB5B","CYB5B","O43169",1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
"74","PHGDH","PHGDH","O43175",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
"75","SPINT2","SPINT2","O43291",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"76","GPAA1","GPAA1","O43292",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","TPD52L2","TPD52L2","O43399",1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
"78","EPB41L2","EPB41L2","O43491",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"79","TGOLN2","TGOLN2","O43493",1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
"80","ATP8B1","ATP8B1","O43520",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"81","CA12","CA12","O43570",1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
"82","TSPAN6","TSPAN6","O43657",1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0
"83","GET3","ASNA1","O43681",1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0
"84","NARS1","NARS","O43776",1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
"85","MYO1B","MYO1B","O43795",1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
"86","CALU","CALU","O43852",1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
"87","AHCYL1","AHCYL1","O43865",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"88","TYROBP","TYROBP","O43914",1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0
"89","PLIN1","PLIN1","O60240",1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
"90","PPL","PPL","O60437",1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0
"91","NRP2","NRP2","O60462",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"92","ACSL4","ACSL4","O60488",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
"93","SYNCRIP","SYNCRIP","O60506",1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
"94","PLOD3","PLOD3","O60568",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"95","TLR2","TLR2","O60603",1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0
"96","DIAPH1","DIAPH1","O60610",1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
"97","SELENOF","SEP15","O60613",1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"98","TSPAN1","TSPAN1","O60635",1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0
"99","UGDH","UGDH","O60701",1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
"100","CTNND1","CTNND1","O60716",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"101","SNX2","SNX2","O60749",1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
"102","DPM1","DPM1","O60762",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"103","H2BC9","HIST1H2BH","Q93079",1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1
"104","PRAF2","PRAF2","O60831",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"105","DNAJA2","DNAJA2","O60884",1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0
"106","SRGAP2","SRGAP2","O75044",1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
"107","FAM20B","FAM20B","O75063",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"108","WDR1","WDR1","O75083",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"109","CPNE3","CPNE3","O75131",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
"110","DNAJC13","DNAJC13","O75165",1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
