"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"270","RPSA","RPSA","P08865",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"271","CD63","CD63","P08962",1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0
"272","ACAA1","ACAA1","P09110",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"273","GSTP1","GSTP1","P09211",1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0
"274","LGALS1","LGALS1","P09382",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
"275","HMGB1","HMGB1","P09429",1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0
"276","RBP1","RBP1","P09455",1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1
"277","FBP1","FBP1","P09467",1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
"278","SPARC","SPARC","P09486",1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
"279","ANXA4","ANXA4","P09525",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"280","CNP","CNP","P09543",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"281","PDGFRB","PDGFRB","P09619",1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0
"282","DLD","DLD","P09622",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"283","HNRNPA1","HNRNPA1","P09651",1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
"284","TACSTD2","TACSTD2","P09758",1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
"285","PARP1","PARP1","P09874",1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"286","IFIT1","IFIT1","P09914",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"287","LTA4H","LTA4H","P09960",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"288","ALDOC","ALDOC","P09972",1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
"289","SULT1A3","SULT1A3","P0DMM9",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
"290","RRAS","RRAS","P10301",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"291","HLA-C","HLA-C","P10321",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"292","DLAT","DLAT","P10515",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"293","PTPRF","PTPRF","P10586",1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0
"294","TXN","TXN","P10599",1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0
"295","MGST1","MGST1","P10620",1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"296","PRKAR1A","PRKAR1A","P10644",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"297","HSPD1","HSPD1","P10809",1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
"298","SLC2A1","SLC2A1","P11166",1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
"299","SLC2A3","SLC2A3","P11169",1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
"300","EPB41","EPB41","P11171",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"301","ITGAM","ITGAM","P11215",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"302","RALA","RALA","P11233",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"303","RALB","RALB","P11234",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"304","BCR","BCR","P11274",1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
"305","SPTB","SPTB","P11277",1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0
"306","LAMP1","LAMP1","P11279",1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"307","G6PD","G6PD","P11413",1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0
"308","CETP","CETP","P11597",1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1
"309","IGF2R","IGF2R","P11717",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
"310","ADH5","ADH5","P11766",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"311","PABPC1","PABPC1","P11940",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"312","COL6A2","COL6A2","P12110",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"313","SLC25A6","SLC25A6","P12236",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
"314","PIP","PIP","P12273",1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
"315","FCGR1A","FCGR1A","P12314",1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
"316","ANXA3","ANXA3","P12429",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"317","RNASE3","RNASE3","P12724",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
"318","CDH1","CDH1","P12830",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"319","MYH7","MYH7","P12883",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320","PEPD","PEPD","P12955",1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0
"321","XRCC6","XRCC6","P12956",1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0
"322","XRCC5","XRCC5","P13010",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"323","RNH1","RNH1","P13489",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
"324","CYBA","CYBA","P13498",1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0
"325","NCAM1","NCAM1","P13591",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"326","VCAN","VCAN","P13611",1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1
"327","PDIA4","PDIA4","P13667",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"328","P4HA1","P4HA1","P13674",1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"329","HLA-E","HLA-E","P13747",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"330","APEH","APEH","P13798",1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0
"331","GYS1","GYS1","P13807",1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"332","PRKAR2A","PRKAR2A","P13861",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
"333","CD59","CD59","P13987",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"334","FOLR2","FOLR2","P14207",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"335","CD99","CD99","P14209",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"336","PRKCSH","PRKCSH","P14314",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"337","CPM","CPM","P14384",1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0
"338","AKR1A1","AKR1A1","P14550",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"339","HSP90B1","HSP90B1","P14625",1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1
"340","SNRPB","SNRPB","P14678",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"341","MMP9","MMP9","P14780",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"342","HNRNPL","HNRNPL","P14866",1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
"343","DARS1","DARS","P14868",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"344","PVR","PVR","P15151",1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"345","RAC2","RAC2","P15153",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
"346","EZR","EZR","P15311",1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
"347","FOLR1","FOLR1","P15328",1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
"348","CD46","CD46","P15529",1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"349","RPS2","RPS2","P15880",1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
"350","MUC1","MUC1","P15941",1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
"351","ALOX15","ALOX15","P16050",1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
"352","NPR1","NPR1","P16066",1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
"353","H2AX","H2AFX","P16104",1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1
"354","ITGB4","ITGB4","P16144",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"355","CBR1","CBR1","P16152",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"356","ANK1","ANK1","P16157",1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0
"357","PECAM1","PECAM1","P16284",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
"358","EPCAM","EPCAM","P16422",1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
"359","POR","POR","P16435",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1
"360","EPB42","EPB42","P16452",1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
"361","ATP2A2","ATP2A2","P16615",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"362","CD36","CD36","P16671",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
"363","GOT1","GOT1","P17174",1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"364","ITGA2","ITGA2","P17301",1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"365","GJA1","GJA1","P17302",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1
"366","CAPN2","CAPN2","P17655",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"367","ENG","ENG","P17813",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"368","PFKL","PFKL","P17858",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
"369","LGALS3","LGALS3","P17931",1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
"370","PSMC3","PSMC3","P17980",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0
"371","TCP1","TCP1","P17987",1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0
"372","RPL35A","RPL35A","P18077",1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"373","ITGB5","ITGB5","P18084",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
"374","ARF4","ARF4","P18085",1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0
"375","PTPRA","PTPRA","P18433",1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
"376","RHCE","RHCE","P18577",1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
"377","RPL17","RPL17","P18621",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"378","PGAM1","PGAM1","P18669",1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"379","CDH2","CDH2","P19022",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"380","HK1","HK1","P19367",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"381","GGT1","GGT1","P19440",1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"382","SLC9A1","SLC9A1","P19634",1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
"383","TYMP","TYMP","P19971",1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0
"384","ATP2B1","ATP2B1","P20020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"385","HLA-DPA1","HLA-DPA1","P20036",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"386","ANXA7","ANXA7","P20073",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"387","CD33","CD33","P20138",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"388","ALOX5AP","ALOX5AP","P20292",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"389","MX1","MX1","P20591",1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0
"390","M6PR","M6PR","P20645",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
"391","ITGAL","ITGAL","P20701",1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0
"392","ITGAX","ITGAX","P20702",1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0
"393","COL5A1","COL5A1","P20908",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"394","GSTM3","GSTM3","P21266",1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0
"395","ATP6V1B2","ATP6V1B2","P21281",1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0
"396","ATP6V1C1","ATP6V1C1","P21283",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"397","CSRP1","CSRP1","P21291",1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
"398","MAOA","MAOA","P21397",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"399","ACO1","ACO1","P21399",1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0
"400","NT5E","NT5E","P21589",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"401","C5AR1","C5AR1","P21730",1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0
"402","MSR1","MSR1","P21757",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"403","VDAC1","VDAC1","P21796",1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0
"404","BGN","BGN","P21810",1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"405","CD9","CD9","P21926",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"406","COMT","COMT","P21964",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
"407","TGM2","TGM2","P21980",1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
"408","OSBP","OSBP","P22059",1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"409","PCMT1","PCMT1","P22061",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"410","TNXB","TNXB","P22105",1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"411","PAICS","PAICS","P22234",1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0
"412","SCP2","SCP2","P22307",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"413","UBA1","UBA1","P22314",1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0
"414","NME2","NME2","P22392",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
"415","ENPP1","ENPP1","P22413",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"416","HNRNPA2B1","HNRNPA2B1","P22626",1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
"417","CALB2","CALB2","P22676",1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0
"418","UQCRC2","UQCRC2","P22695",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
"419","SLC2A5","SLC2A5","P22732",1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"420","TGM1","TGM1","P22735",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"421","MRC1","MRC1","P22897",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"422","CES1","CES1","P23141",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"423","PTGS1","PTGS1","P23219",1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
"424","ITGA6","ITGA6","P23229",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
"425","PPIB","PPIB","P23284",1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
"426","S100A1","S100A1","P23297",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"427","WARS1","WARS","P23381",1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
"428","JAK1","JAK1","P23458",1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
"429","PTPRE","PTPRE","P23469",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"430","PTPRG","PTPRG","P23470",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"431","AHCY","AHCY","P23526",1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0
"432","ATP2B4","ATP2B4","P23634",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"433","KDELR1","KDELR1","P24390",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"434","EEF1B2","EEF1B2","P24534",1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0
"435","ATP5PB","ATP5F1","P24539",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"436","TBXAS1","TBXAS1","P24557",1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"437","RPS12","RPS12","P25398",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
"438","FAS","FAS","P25445",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
"439","ATP5F1A","ATP5A1","P25705",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
"440","PSMA3","PSMA3","P25788",1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
"441","PSMA4","PSMA4","P25789",1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
"442","ITGA3","ITGA3","P26006",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"443","ITGB8","ITGB8","P26012",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"444","MSN","MSN","P26038",1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0
"445","DDX6","DDX6","P26196",1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
"446","CTNNA2","CTNNA2","P26232",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"447","S100A4","S100A4","P26447",1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0
"448","PTBP1","PTBP1","P26599",1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
"449","TARS1","TARS","P26639",1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0
"450","EEF1G","EEF1G","P26641",1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
"451","FKBP2","FKBP2","P26885",1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
"452","STOM","STOM","P27105",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"453","MAOB","MAOB","P27338",1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"454","ATP6V0C","ATP6V0C","P27449",1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1
"455","DPP4","DPP4","P27487",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"456","RPL10","RPL10","P27635",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"457","CD82","CD82","P27701",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"458","CAD","CAD","P27708",1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0
"459","CALR","CALR","P27797",1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
"460","CANX","CANX","P27824",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"461","PSMB8","PSMB8","P28062",1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
"462","PSMB9","PSMB9","P28065",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"463","PSMA5","PSMA5","P28066",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
"464","HLA-DMA","HLA-DMA","P28067",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"465","GSTM2","GSTM2","P28161",1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
"466","TMOD1","TMOD1","P28289",1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"467","LOX","LOX","P28300",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"468","NDUFS1","NDUFS1","P28331",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"469","MAPK1","MAPK1","P28482",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"470","GCA","GCA","P28676",1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
"471","LAP3","LAP3","P28838",1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0
"472","CD34","CD34","P28906",1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0
"473","CD38","CD38","P28907",1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0
"474","TPP2","TPP2","P29144",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
"475","EPHA2","EPHA2","P29317",1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
"476","EPHB2","EPHB2","P29323",1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0
"477","PTPN6","PTPN6","P29350",1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
"478","CRABP2","CRABP2","P29373",1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
"479","TKT","TKT","P29401",1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0
"480","TYK2","TYK2","P29597",1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"481","OAS2","OAS2","P29728",1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
"482","MARCKS","MARCKS","P29966",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"483","AQP1","AQP1","P29972",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"484","GNA11","GNA11","P29992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"485","ERP29","ERP29","P30040",1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
"486","PRDX6","PRDX6","P30041",1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
"487","PRDX5","PRDX5","P30044",1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"488","ECHS1","ECHS1","P30084",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"489","PEBP1","PEBP1","P30086",1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0
"490","PDIA3","PDIA3","P30101",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
"491","PPP2R1A","PPP2R1A","P30153",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
"492","TM4SF1","TM4SF1","P30408",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
"493","HLA-F","HLA-F","P30511",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
"494","HMOX2","HMOX2","P30519",1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1
"495","LRPAP1","LRPAP1","P30533",1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"496","TSPO","TSPO","P30536",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"497","SRI","SRI","P30626",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"498","GSTT1","GSTT1","P30711",1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
"499","SERPINB1","SERPINB1","P30740",1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
"500","SDHA","SDHA","P31040",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"501","CORO1A","CORO1A","P31146",1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0
"502","GDI1","GDI1","P31150",1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0
"503","DNAJA1","DNAJA1","P31689",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"504","UQCRC1","UQCRC1","P31930",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"505","ATIC","ATIC","P31939",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"506","HNRNPH1","HNRNPH1","P31943",1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"507","STIP1","STIP1","P31948",1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
"508","FCGR2B","FCGR2B","P31994",1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"509","CEACAM8","CEACAM8","P31997",1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"510","PRDX2","PRDX2","P32119",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
"511","SLC8A1","SLC8A1","P32418",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"512","GBP1","GBP1","P32455",1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0
"513","ICAM3","ICAM3","P32942",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"514","RPL9","RPL9","P32969",1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0
"515","ACSL1","ACSL1","P33121",1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
"516","KIF5B","KIF5B","P33176",1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1
"517","LSP1","LSP1","P33241",1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
"518","ABCC1","ABCC1","P33527",1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
"519","KDELR2","KDELR2","P33947",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"520","CD68","CD68","P34810",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"521","EVI2B","EVI2B","P34910",1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0
"522","HSPA4","HSPA4","P34932",1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
"523","GPC1","GPC1","P35052",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"524","CTNNA1","CTNNA1","P35221",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"525","CTNNB1","CTNNB1","P35222",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"526","PHB1","PHB","P35232",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
"527","SERPINB6","SERPINB6","P35237",1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0
"528","RDX","RDX","P35241",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"529","RPL22","RPL22","P35268",1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0
"530","FBN1","FBN1","P35555",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
"531","MYH10","MYH10","P35580",1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1
"532","COPB2","COPB2","P35606",1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0
"533","SOAT1","SOAT1","P35610",1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"534","ADD1","ADD1","P35611",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"535","BSG","BSG","P35613",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"536","GGT5","GGT5","P36269",1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
"537","ARL3","ARL3","P36405",1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
"538","RPL4","RPL4","P36578",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"539","PGM1","PGM1","P36871",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"540","PPP1CC","PPP1CC","P36873",1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"541","DLST","DLST","P36957",1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
"542","GPX4","GPX4","P36969",1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
"543","HPCAL1","HPCAL1","P37235",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
"544","TAGLN2","TAGLN2","P37802",1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
"545","ATP6V1A","ATP6V1A","P38606",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
"546","HSPA9","HSPA9","P38646",1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
