"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1684","PRDX3","PRDX3","P30048",0,0,0,0,0
"1685","ATP5F1D","ATP5D","P30049",0,0,0,0,0
"1686","RPL12","RPL12","P30050",72281,0,0,0,0
"1687","ECHS1","ECHS1","P30084",0,0,0,0,0
"1688","CMPK1","CMPK1","P30085",0,0,11946,305520,0
"1689","PEBP1","PEBP1","P30086",360670,441760,959790,3722300,0
"1690","PDIA3","PDIA3","P30101",1861400,0,10030000,0,2474100
"1691","PPP2R1A","PPP2R1A","P30153",1292400,18958,1377300,2081200,0
"1692","PPP2R1B","PPP2R1B","P30154",12164,0,0,0,0
"1693","CD6","CD6","P30203",0,0,0,284610,0
"1694","FCER1G","FCER1G","P30273",0,160190,0,35476,0
"1695","PPIF","PPIF","P30405",0,0,0,0,0
"1696","TM4SF1","TM4SF1","P30408",399390,687490,752840,397560,0
"1697","NMT1","NMT1","P30419",2398.5,0,0,8136.3,0
"1698","HLA-F","HLA-F","P30511",0,0,0,131900,0
"1699","HMOX2","HMOX2","P30519",60418,0,450360,19595,12807
"1700","ADSS2","ADSS","P30520",26327,0,0,75879,0
"1701","AXL","AXL","P30530",885.72,0,0,0,0
"1702","LRPAP1","LRPAP1","P30533",0,0,44897,0,0
"1703","TSPO","TSPO","P30536",0,0,0,0,0
"1704","OXTR","OXTR","P30559",0,0,0,0,0
"1705","ADSL","ADSL","P30566",3489.4,0,0,321730,0
"1706","PKLR","PKLR","P30613",0,0,0,0,0
"1707","CLIP1","CLIP1","P30622",0,0,0,0,0
"1708","SRI","SRI","P30626",65885,6063,271960,39373,0
"1709","GNA15","GNA15","P30679",0,0,0,0,0
"1710","GSTT1","GSTT1","P30711",0,0,0,1464100,0
"1711","SERPINB1","SERPINB1","P30740",23243,79268,46806,1774500,0
"1712","SLC7A1","SLC7A1","P30825",109730,0,187340,0,0
"1713","ALDH1B1","ALDH1B1","P30837",0,0,0,0,0
"1714","POLR2B","POLR2B","P30876",0,0,0,0,0
"1715","LCN1","LCN1","P31025",0,136220,0,0,0
"1716","SDHA","SDHA","P31040",0,0,0,0,0
"1717","CORO1A","CORO1A","P31146",0,0,0,193780,0
"1718","GDI1","GDI1","P31150",233700,88516,616290,465260,0
"1719","S100A7","S100A7","P31151",23354,98176,63041,0,0
"1720","MAT2A","MAT2A","P31153",49839,0,181910,180820,0
"1721","PRKAR1B","PRKAR1B","P31321",0,0,0,348800,0
"1722","PRKAR2B","PRKAR2B","P31323",846940,0,1946200,0,33774
"1723","CASQ1","CASQ1","P31415",0,0,0,0,0
"1724","SDC4","SDC4","P31431",0,0,0,0,0
"1725","DNAJA1","DNAJA1","P31689",214350,0,263970,678300,0
"1726","AKT1","AKT1","P31749",42162,0,0,329070,0
"1727","AKT2","AKT2","P31751",31995,0,0,169390,0
"1728","UQCRC1","UQCRC1","P31930",0,0,0,0,0
"1729","HIBADH","HIBADH","P31937",0,0,0,0,0
"1730","ATIC","ATIC","P31939",498600,0,934950,1181500,0
"1731","HNRNPH3","HNRNPH3","P31942",0,0,0,0,0
"1732","HNRNPH1","HNRNPH1","P31943",123920,0,182120,0,0
"1733","CASP14","CASP14","P31944",52304,315000,0,0,52352
"1734","YWHAB","YWHAB","P31946",453950,598470,1618700,5454400,62480
"1735","SFN","SFN","P31947",0,197330,0,6266100,0
"1736","STIP1","STIP1","P31948",861480,0,597760,87042,0
"1737","S100A11","S100A11","P31949",834000,177850,1638300,1467500,294810
"1738","FCGR2B","FCGR2B","P31994",0,0,0,0,0
"1739","CEACAM8","CEACAM8","P31997",7336,0,0,172570,0
"1740","L1CAM","L1CAM","P32004",0,0,0,0,0
"1741","PRDX2","PRDX2","P32119",266100,61572,677120,582610,0
"1742","ARRB2","ARRB2","P32121",0,0,0,0,0
"1743","CCR1","CCR1","P32246",0,23721,0,0,0
"1744","GPR183","GPR183","P32249",0,0,0,0,0
"1745","CDA","CDA","P32320",0,0,0,0,0
"1746","DCTD","DCTD","P32321",12025,0,26367,0,0
"1747","PYCR1","PYCR1","P32322",0,0,0,0,0
"1748","SLC8A1","SLC8A1","P32418",0,0,0,22493,0
"1749","GBP1","GBP1","P32455",0,0,0,1063200,0
"1750","GBP2","GBP2","P32456",0,0,0,62874,0
"1751","STX2","STX2","P32856",4109.5,100540,18947,1774100,0
"1752","DSG3","DSG3","P32926",0,0,0,0,0
"1753","ICAM3","ICAM3","P32942",0,0,0,30240,0
"1754","RPL9","RPL9","P32969",375320,0,214860,0,0
"1755","CD70","CD70","P32970",0,0,0,0,0
