"","category","marker","Gene.name.updated","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
"37","cat1","GNG14","GNG14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","cat1","HLA-A/B/C","HLA-A/B/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","cat1","H2-K/D/Q","H2-K/D/Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","cat1","ITGA1","ITGA1",3424.6,2958.4,982.11,15955,123.44,2282.7,7581.4,1054.9,9368.1,1354.6,713.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","cat1","ITGA2","ITGA2",2964,1147.9,1804,5815.4,10019,4585.5,8485.7,8925,34332,25102,28636,154.42,0,0,0,1707.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.09
"42","cat1","ITGA3","ITGA3",30233,31696,39309,36035,85009,29457,58158,53512,108710,22469,35654,12516,2282.1,1514.4,1621.1,19207,7061.7,1306.8,5973.7,4861.3,1316.4,5431.8,0,0,0,0,0,0,0,0,0,0,1417.3
"43","cat1","ITGA4","ITGA4",6181.1,6969,5669.9,5828.8,1685.6,5022.4,4461.6,8531.5,41545,2416.6,6671.7,0,237.11,0,0,0,0,0,0,473.98,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","cat1","ITGA5","ITGA5",7115.6,6155,10950,23836,4104.4,3157.7,15683,34011,78899,5693.3,5180.5,937.38,5820.4,661.43,2779.5,1220.2,1539,1359.4,1952.8,2128.3,1060.5,825.38,0,0,0,0,0,981.51,0,0,0,0,0
"45","cat1","ITGA6","ITGA6",2540.5,1619.5,3882.1,5607.5,1004.8,1496.8,23595,6298.7,14701,2500.8,5100.5,609.41,276.61,157.36,0,208.35,363.66,1123.2,0,240.22,254.11,157.86,0,0,0,0,0,0,0,0,0,0,0
"46","cat1","ITGA7","ITGA7",176.5,263.18,0,0,0,498.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","cat1","ITGA8","ITGA8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","cat1","ITGA9","ITGA9",267.71,0,0,0,4942.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","cat1","ITGA10","ITGA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","cat1","ITGA11","ITGA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","cat1","ITGB1","ITGB1",82243,61347,77140,113270,108590,51733,134480,163570,361370,52186,90820,20253,24680,8321.8,14112,23540,17849,19407,12691,16967,9818.9,18322,0,0,0,0,0,0,0,0,0,0,0
"52","cat1","ITGB2","ITGB2",69991,47419,84678,226400,41030,41518,146140,398690,706810,77026,164330,21185,52473,12827,34132,7508.6,19343,18215,14639,28117,19349,17443,0,0,0,0,0,0,0,0,0,0,0
"53","cat1","ITGB3","ITGB3",20017,7841,33135,57851,33317,38272,27989,9292.2,27255,6853.2,41928,2414.4,205.61,1607.7,2307.7,758.09,0,0,0,0,0,2598.1,0,0,0,0,0,0,0,0,0,0,0
"54","cat1","ITGB4","ITGB4",410.02,0,286.7,58.634,1412,1059.9,6789.2,1912.7,1947,155.62,0,476.55,0,0,0,0,0,1505.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","cat1","ITGB5","ITGB5",28253,19970,21515,25300,12502,30310,7757.9,23948,23920,4139.4,12910,3031.8,7010.2,1790,2822.6,2781.3,603.28,0,0,0,0,3581.4,0,0,0,0,0,0,0,0,0,0,0
"56","cat1","ITGB6","ITGB6",0,384.84,0,2789.5,6393.1,1330.3,6667.2,7584.7,53339,5963.9,9809.1,5348.1,0,0,0,0,0,602.24,0,0,0,2480.9,0,0,0,0,0,0,0,0,0,0,0
"57","cat1","ITGB7","ITGB7",0,0,0,1240.9,0,0,1028.2,590.6,17451,0,1301.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","cat1","ITGB8","ITGB8",3739.7,4277.6,4457.3,2946.8,18346,2113.5,9445,12434,43870,2064.4,1886.1,1908.5,1565,741.4,0,4246.5,1486.4,950.21,1479.2,2682.7,609.04,90.963,0,0,0,0,0,0,0,0,0,0,64.446
"59","cat1","TFR2","TFR2",0,0,0,0,813.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","cat1","LAMP1/2","LAMP1/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","cat1","SDC1","SDC1",0,0,0,0,0,0,0,0,0,0,0,0,6308.5,0,0,0,0,0,0,3618.9,13551,0,0,0,0,0,0,0,0,3892.9,0,2980.9,0
"62","cat1","SDC2","SDC2",3815.6,13129,0,0,0,6943,721.79,815.77,951.51,445.8,602.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","cat1","SDC3","SDC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","cat1","SDC4","SDC4",0,10669,0,3176.4,6102.6,0,5029.9,21049,57034,1205.1,4451.8,0,0,0,0,14121,0,0,5236.7,10749,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","cat1","BSG","BSG",281020,306490,667120,286080,379330,374240,317390,331040,472560,115690,180390,71246,72083,89340,71358,76716,127220,198480,39360,24131,51189,49381,0,0,0,0,0,0,0,0,0,0,0
"66","cat1","ADAM10","ADAM10",37129,44465,43625,24228,52047,66142,31404,43603,73831,8856.9,16731,3427.9,4124.6,2566.5,5407.7,1519.9,3998.1,5462,3771.8,2467.7,1303.1,3954.2,0,0,0,0,382.93,0,0,0,0,0,225.96
"67","cat1","NT5E","NT5E",33980,15333,131950,124000,49779,29242,134800,28272,118430,37399,59228,11965,7198.6,14878,76446,8908.9,26614,12402,0,7273.7,8393.5,15193,0,0,0,0,0,0,0,0,0,0,0
"68","cat1","CD55","CD55",0,1965.9,10198,114750,6726,336.19,420470,119440,84280,8255.7,70980,1889.1,5514.9,0,55304,4385.4,0,20807,3858,0,0,6336.2,0,0,0,0,0,1966.7,0,0,0,0,0
"69","cat1","CD59","CD59",363650,703020,96689,750290,620320,549430,1140200,632760,886750,370920,745330,216160,231220,149550,426360,179070,157590,98316,87406,61196,136490,199810,0,0,0,0,0,0,0,0,0,0,0
"70","cat1","SHH","SHH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","cat1","TSPAN8","TSPAN8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","cat1","CD37","CD37",0,3811.7,0,17026,6148.1,5078.2,16299,3587.5,63684,3933.7,16642,1716.5,0,0,0,0,1733.3,0,0,1488.5,0,1937.2,0,0,0,0,0,0,0,0,0,0,0
"73","cat1","CD53","CD53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","cat1","PECAM1","PECAM1",112.9,8409.2,12487,24022,4262.3,655.31,11983,30121,80379,5974.9,19709,2018.8,5010.2,715.96,816.92,438.2,2696.7,2775.5,1294.5,3308,1857.5,2900,0,0,0,0,0,0,0,0,0,0,0
"75","cat1","ERBB2","ERBB2",0,1952.6,3847.9,5578.6,2657.5,2468.4,4197.6,2068.5,8681,966.57,4826.1,339.91,210.85,336.59,527.59,398.22,872.65,3062.9,0,0,471.34,1075.1,0,0,0,0,0,0,0,0,0,0,0
"76","cat1","EPCAM","EPCAM",50282,133380,8786.1,8437,115020,196030,154790,506730,357260,49010,180470,40557,54641,0,0,47401,0,14351,94675,7724.6,20760,43322,0,0,0,0,0,4445.5,0,0,0,0,0
"77","cat1","THY1","THY1",336830,682900,773330,918060,286730,357670,378520,235180,555360,260690,405620,156330,335940,192310,443190,60757,340370,50630,23395,32824,86153,129720,0,0,0,0,0,0,0,0,0,0,0
"78","cat1","PTPRC","PTPRC",89875,154430,119340,187190,50040,86264,150260,217800,862690,81067,179400,20694,29988,8245.2,26543,6388.3,19081,17942,7969.4,31247,10509,22457,0,0,0,356.97,0,0,0,0,0,0,0
"79","cat1","GP9","GP9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","cat1","GYPA","GYPA",152820,269010,714860,805700,241590,679620,268250,40646,1056,108330,579350,38078,68755,113530,244430,24325,143200,121410,3370.1,0,94604,401240,0,0,0,0,0,0,0,0,0,0,0
"81","cat1","CD14","CD14",303770,191130,279480,342180,212540,118860,162080,546690,712040,209560,182990,102590,101700,72505,114830,50942,116650,34353,105830,65194,83188,87823,13084,5222.7,9871.2,27242,17497,5551.8,8905.3,20898,38426,6384.1,20453
"82","cat1","HLA-DR/DP/DQ","HLA-DR/DP/DQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","cat1","H2-A","H2-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","cat1","CD3E","CD3E",12899,0,32897,36262,2886.3,16576,17780,10390,113110,9059.1,41043,0,0,0,5018.4,0,0,0,0,3550.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","cat1","CD3D","CD3D",0,8284.5,1844.2,18110,0,14890,12362,3893.4,64249,8804.6,21613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","cat1","CD3G","CD3G",0,0,1674.3,15859,0,8701.6,6495,3831.8,36435,887.65,14319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","cat1","CD3Z","CD247",4145.9,25359,31083,28044,5409.7,41302,10864,984.5,104910,5074.9,32004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","cat1","AChE-E","AChE-E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","cat1","APP","APP",1713.8,0,0,74.051,1262.4,429.98,0,885.89,0,0,6145.3,148.54,0,0,0,0,0,0,0,0,0,1353.2,0,0,0,0,0,0,0,0,0,0,0
"90","cat1","ABCC1","ABCC1",3463.1,7136.7,8923.2,13984,3155.6,4228.9,8942.9,20476,25591,2775.1,2656.9,289.6,221.88,289.99,465.82,0,625.46,1558.8,0,0,0,158.12,0,0,0,0,0,0,0,0,0,0,0
"91","cat2","TSG101","TSG101",14141,11270,10722,35814,6095.3,12663,34717,52108,45645,8867,15625,688.97,0,0,20644,2421.5,2571.7,3470.1,12427,3883.3,813.29,1661.3,0,0,0,0,0,0,0,0,0,0,0
"92","cat2","CHMP1A","CHMP1A",0,0,2256.9,5036.7,0,0,2269.3,11000,7338.9,0,2543.2,0,0,0,6253.9,0,0,0,5996.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","cat2","CHMP1B","CHMP1B",0,0,5264,0,0,0,421.24,3198.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","cat2","CHMP2A","CHMP2A",8330.1,0,0,5749.1,0,0,5712,20346,11441,1522.8,1578,0,0,0,1769.2,0,0,1776.8,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","cat2","CHMP2B","CHMP2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","cat2","CHMP3","CHMP3",0,0,3060.7,6812.1,0,0,5560.2,19870,12401,1275.4,2190.3,2137.3,0,0,4664.7,0,0,4749.7,3922.8,1712.3,0,935.2,0,0,0,0,0,0,0,0,0,0,0
"97","cat2","CHMP4A","CHMP4A",0,0,0,17466,0,0,26322,6651.8,30039,83.663,13889,764.2,0,0,1788.3,0,0,2167.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","cat2","CHMP4B","CHMP4B",0,0,7952.4,18016,27597,3061.6,64335,122820,56681,9480.4,25122,2158.1,0,0,12294,2249.2,3650.7,11464,24687,0,1661.9,970.34,0,0,0,0,0,0,0,0,0,0,0
"99","cat2","CHMP4C","CHMP4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","cat2","CHMP5","CHMP5",0,0,0,37484,0,0,37926,88994,18676,10996,10982,0,0,0,4853.6,0,0,0,6005.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","cat2","CHMP6","CHMP6",0,0,0,34438,0,0,13013,46343,42820,7923,13782,2984.1,7512.5,4325.2,12350,0,2174,16164,9193.2,2661.6,10275,1638.1,0,0,0,0,0,0,0,0,0,0,0
"102","cat2","PDCD6IP","PDCD6IP",34221,17618,35927,83755,42032,18689,57006,82604,93809,21014,35786,8614,14141,10145,50809,22479,15901,26481,20265,6214,10716,9593,0,0,0,515.24,0,317.98,0,0,0,0,0
"103","cat2","FLOT1","FLOT1",82647,73921,153550,180150,89433,129590,96456,104850,70281,43180,151810,38296,27105,25365,64406,25996,45156,13830,23828,3393.1,14595,68266,0,0,0,0,0,0,0,0,0,0,0
"104","cat2","FLOT2","FLOT2",28191,21960,64579,95552,25903,42743,44686,66239,32236,15223,118230,16278,17483,14737,34006,16449,21069,5856.7,10603,443.61,920.71,38539,0,0,0,0,0,0,0,0,0,0,0
"105","cat2","CAV1","CAV1",707320,222910,784610,1141200,389100,432950,186770,93205,54369,82733,19196,98821,64597,47856,214240,37312,110670,6583.7,5741.2,0,7394.7,331.86,0,0,0,0,0,0,0,0,0,0,1460.4
"106","cat2","CAV2","CAV2",200730,35349,139990,114930,55269,121250,20805,11750,4883.4,5340.2,0,9687.5,6164.5,9202.8,21578,4235.2,10472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","cat2","CAV3","CAV3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","cat2","EHD1","EHD1",44642,63992,101180,116580,78458,43411,97695,110520,354920,31727,63924,17085,14330,21711,35130,15322,26690,37647,16177,18324,9471.9,20870,0,0,0,0,0,0,0,0,0,0,316.97
"109","cat2","EHD2","EHD2",40390,49132,62315,65368,22407,66528,25057,33653,76167,6394.4,3897.1,9040.2,8246.6,10665,30674,0,15117,6174,9783.1,855.4,819.76,1631.5,0,0,0,502.55,0,0,0,0,0,0,456.05
"110","cat2","EHD3","EHD3",0,1066.1,0,2637.6,0,0,1261.3,4139.5,504.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","cat2","EHD4","EHD4",8411.7,1570.7,28912,54385,9056.9,0,55315,92619,206400,26103,33642,9295.7,12706,24619,40471,11348,22059,13965,11967,8262.2,7554.2,7692.7,0,0,0,0,0,0,0,0,0,0,201.57
"112","cat2","RHOA","RHOA",151810,238040,429930,541060,237790,240620,406770,638620,1466800,169400,342160,68377,89077,97269,148980,56860,96172,45094,72650,85564,43034,92952,0,0,0,0,0,0,0,0,0,0,0
"113","cat2","ANXA1","ANXA1",1947700,970690,2379300,2611900,2486900,1382200,1364600,1138300,2471600,433980,417760,768950,530540,585530,928310,1111900,907170,661390,249760,278480,215640,128510,1098.6,0,7099,4914.1,1499.4,7081.8,351.73,0,782.4,0,0
"114","cat2","ANXA2","ANXA2",3968400,5055400,7183900,6832800,6045100,5024600,3548100,3880300,4908700,1608400,1771300,2175700,1946500,2504900,2893400,2085300,3109400,1176100,1036700,615290,736190,591880,8109,2216.6,20815,19455,7659.8,34261,731.27,5159,2337.4,0,509.9
"115","cat2","ANXA3","ANXA3",183490,65741,220110,208920,608450,76150,242400,179840,164930,23396,188550,72465,40834,85821,52363,194580,90322,34428,27532,21542,8894.6,54520,0,0,0,220.96,0,0,0,0,0,0,0
"116","cat2","ANXA4","ANXA4",547300,282510,651560,666200,432240,204850,557660,738470,468610,133330,228820,220960,184660,174260,190470,304420,222240,124050,150140,44690,19289,49481,0,0,0,2065.8,0,0,0,0,0,0,0
"117","cat2","ANXA5","ANXA5",1628400,514800,1646500,3064000,977360,1136800,1435000,841860,1376200,607170,1164000,553560,437170,466360,734900,535170,746680,180080,156330,63574,170430,296160,0,0,2243.6,2317.8,0,2572.4,0,0,0,0,0
"118","cat2","ANXA6","ANXA6",480350,406620,817360,1120100,306440,590710,476410,319830,384950,246780,286500,170190,140200,210820,301420,75284,315840,91757,36511,23835,85392,78543,0,0,0,365.28,0,569.53,0,956.79,0,0,252.12
"119","cat2","ANXA7","ANXA7",116900,85100,92196,167580,104660,125070,101510,125580,51420,35883,134940,43949,25986,22838,33654,33153,35454,28544,14056,2559.9,11713,22991,0,0,0,0,0,0,0,0,0,0,0
"120","cat2","ANXA8","ANXA8",0,0,15823,20910,0,0,16035,0,4559.7,4909.1,0,911.99,0,538.82,1288,850.24,6869.9,1971.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","cat2","ANXA9","ANXA9",0,0,0,0,635.26,0,0,16131,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
