"","cell.type","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"1","epithelial_cancer_cells",14.4596159070883,16.8620944803859,4.53942492633413,23.3170659804624,44.9436750496907,18.5950321311346,37.6568867355163,46.2499438684112,19.3617606482017,20.3273555012044,50.9882806713053
"2","fibroblast",25.5828719232518,50.2912197037885,52.1518531086805,52.4838190622068,27.3654768013647,39.3166184817008,46.0260736142015,17.1000635194084,32.8986556188987,57.163342224417,23.18783613511
"3","macrophages",59.9575121696599,32.8466858158256,43.3087219649853,24.1991149573307,27.6908481489446,42.0883493871646,16.3170396502822,36.6499926121804,47.7395837328996,22.5093022743786,25.8238831935848
