"","cell.type","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"1","epithelial_cancer_cells",15.0929929279356,26.5437804774718,2.11751332243662,41.0395710039448,48.7920737297338,3.06945944503322,14.5772260228723,49.1343126386078,25.5203982397194,12.4870147669254,41.9381555584284
"2","fibroblast",72.533134316431,56.0164172203678,81.9941317294613,51.6645821027021,42.0401457312238,81.2113896750487,78.6816785548931,37.5313713958288,39.303339222712,77.0476037884229,33.6512119567977
"3","macrophages",12.3738727556335,17.4398023021604,15.8883549481021,7.29584689335306,9.16778053904237,15.7191508799181,6.74109542223465,13.3343159655634,35.1762625375686,10.4653814446517,24.4106324847739
