"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"1677","GNA11",1099900,305130,1237700,337140,2342900,149240,1596500,1360200,2041700,849490,911900,574690,1788700,554060,1179200,17658,2123900,45276,415450,20047,1190500,481300,"GNA11","P29992"
"1787","RDX",544940,405100,1377300,598970,4359400,718360,2979500,1498200,1490500,1204000,1381700,1810000,2577900,1437900,3450000,2050700,7021500,706190,763300,277490,1351000,471660,"RDX","P35241"
"1803","ADD1",482680,188730,694190,503210,999140,117970,2539700,261270,630040,100040,1065200,264310,1045700,472110,384250,14528,2837300,149920,323220,109980,1445000,965610,"ADD1","P35611"
"1805","BSG",4496300,1139900,4903800,1153300,10674000,1429400,4577300,1141700,6069300,1227500,5987800,2035500,5078200,3175700,5296600,629760,7561000,386100,1851000,819020,2886200,790100,"BSG","P35613"
"1978","CAPZA2",574920,183040,921390,224450,1387700,294320,1129500,231980,836360,240100,572360,433290,636860,367570,1202400,178530,2116000,80206,555200,44091,737560,237330,"CAPZA2","P47755"
"2001","CD151",487430,268820,470360,122080,1152200,65964,737400,167730,600470,210210,464700,107220,824870,39824,665180,227970,1716000,54902,261950,46914,563910,145390,"CD151","P48509"
"2031","CCT3",411520,140730,335680,59318,1101600,234920,963750,301040,1923900,776130,619360,270100,598840,230580,2437800,750180,1663100,97090,198190,35657,377020,408390,"CCT3","P49368"
"2068","GNAQ",1094700,251730,1318200,263680,1589600,242050,1586700,851150,1860700,352490,657440,466650,1133700,267820,1076900,64409,2777600,82571,415850,77894,862860,137860,"GNAQ","P50148"
"2146","ARHGDIB",1120200,231700,972540,562570,891560,63768,1377500,304580,412950,108800,847540,113200,1094000,31849,2638300,273810,4922700,257340,624980,114290,1358700,271620,"ARHGDIB","P52566"
"2163","CRIP2",98813,178860,928750,297400,2606100,422620,1395100,773290,928450,347720,322270,733420,974120,805560,933710,225790,1602200,109680,368360,153980,352170,467980,"CRIP2","P52943"
"2181","SLC16A1",2513600,474010,3461100,603350,6429000,941330,2220500,481420,2431600,419370,4087600,1748900,2196300,1017900,1310900,200420,2786700,117940,998460,437720,717870,216860,"SLC16A1","P53985"
"2192","ATP1B3",724120,1443400,847550,190970,1002800,47956,991840,194710,1040200,105470,571250,231700,1042800,328570,4608900,597850,3911500,194820,334770,320480,1025200,257790,"ATP1B3","P54709"
"2268","CD81",1705800,1383800,21733,1619600,4343500,950130,7012900,2038300,158140,751290,229900,1243900,4937300,715860,5246200,999910,14931000,1179000,2723600,1338300,4037500,1577600,"CD81","P60033"
"2287","RAB8A",475130,102970,513190,192060,477690,149360,466290,240940,264070,59935,495780,178480,571510,108500,873840,127340,2410800,66407,223580,55012,525110,134580,"RAB8A","P61006"
"2304","RAP2B",833510,244180,653890,261870,1504900,189650,1310300,434990,754160,190830,515910,470690,1461600,317500,1376700,165220,2584400,90409,813660,161100,1046500,194600,"RAP2B","P61225"
"2314","RHOA",1821800,820520,2856500,1068900,5159200,1167200,6492700,1787700,2853500,682320,2887500,1154100,4881300,541130,7663400,871800,17601000,1026800,2032800,516410,4105900,1115400,"RHOA","P61586"
"2330","RRAS2",251150,150880,649450,371540,858180,329060,709060,468880,1499500,301290,657120,454540,1640700,861260,1353000,145550,1514400,98228,455650,203950,414940,264820,"RRAS2","P62070"
"2332","RPS7",77397,68741,117280,30747,151710,153540,227920,64545,314170,77100,213970,147550,118170,72502,852730,244390,354720,35995,58201,21764,105760,43518,"RPS7","P62081"
"2354","TMSB4X",1633100,352220,2223100,327130,8732700,1516600,3495700,983900,3922000,496190,3198800,2879400,2965200,4952500,490070,220200,7554900,657400,1210300,681280,1209600,355760,"TMSB4X","P62328"
"2355","ARF6",939750,365270,290600,220170,825590,214350,1458300,392940,389750,348990,256760,273370,918010,287400,1010900,161990,2942700,189980,227740,158120,933360,260800,"ARF6","P62330"
"2374","RPS26",204160,93826,71082,92938,372500,328530,191690,77605,319830,166870,4e+05,203120,94776,132730,346020,130380,165350,46710,20890,36995,76959,90235,"RPS26","P62854"
"2383","RPL8",384400,40151,495640,69952,301100,55416,166610,76003,578190,225280,1983100,88080,95491,48427,294130,65825,138080,18725,12538,9613.9,65511,62462,"RPL8","P62917"
"2388","RAC1",1232400,336330,3066100,1187500,2383400,663490,3347900,916050,1912700,275330,1538100,522030,3652400,678130,4982800,874520,10038000,436870,1292500,86156,3049100,830180,"RAC1","P63000"
"2389","AP2B1",2158700,294260,1142500,411950,3626700,685220,3455300,449030,3142000,359800,2737500,701240,2070500,366040,1824600,235000,3655200,22344,577800,30639,1014500,215400,"AP2B1","P63010"
"2391","GNAI1",251500,104950,96437,138130,412850,198730,606040,228500,187150,248400,370160,127980,554210,132730,542350,66650,623790,32925,168430,37147,460550,148240,"GNAI1","P63096"
"2440","GSTO1",245360,97876,276860,148740,470520,126950,857540,179240,293920,122450,217300,209460,567770,82514,1102300,366970,2113600,58164,234030,43697,637590,109020,"GSTO1","P78417"
"2448","HLA-DRB3",841590,333700,903370,145870,3508600,391130,622500,233800,127500,314340,1208100,378400,1647800,67639,2781800,235100,13534000,1423000,580300,60382,825360,337390,"HLA-DRB3","P79483"
"2470","RHOG",561020,297110,1631700,497980,1325300,533940,1374700,244360,500840,119560,792640,595540,1239600,418740,3064600,344640,5892100,179220,461770,137030,1267200,670070,"RHOG","P84095"
"2548","TNFAIP2",2415900,728150,426120,251550,1016200,165400,964330,189210,1140600,306480,529810,170620,1133800,624530,895440,71272,5913100,132480,306360,24397,654330,206140,"TNFAIP2","Q03169"
"2636","BST1",774690,301830,1501200,152560,1964100,376740,1483000,321340,780570,42249,1246500,725060,2425500,193650,1840900,102340,3416400,117200,598080,179290,738480,164250,"BST1","Q10588"
"2637","BST2",677640,209990,1794400,1300500,1705600,528120,1265100,764270,5965800,1987300,804910,1118900,3516000,771390,2258900,620890,4954400,439600,1363400,586060,5456300,2055700,"BST2","Q10589"
"2666","PTPRJ",562020,183520,1059700,386300,467640,19430,1131200,185260,1110100,338760,886880,95096,1339600,500610,2331700,186150,5227600,191680,410490,104480,1266500,344920,"PTPRJ","Q12913"
"2733","ILK",352930,129260,246150,103030,550000,238540,1066400,295230,338800,42443,325330,386190,687120,142630,498810,38363,2217600,66858,196090,25654,527020,137830,"ILK","Q13418"
"2834","FLOT2",930290,537170,724670,576950,2131100,486330,3153200,1122200,854800,542820,1410500,695280,1474600,193270,2185900,349910,1063800,14639,502340,30384,3901500,1271800,"FLOT2","Q14254"
"2841","GNA13",738410,359050,1170100,530870,2599600,179490,2106500,694280,1499000,262560,809500,354710,1575700,369740,2356000,128800,5431800,169940,653410,144300,1445800,397020,"GNA13","Q14344"
"2879","RFTN1",650160,215850,1735800,350310,2988500,348270,1343000,255660,1152600,178610,1485200,579670,1986700,709850,622930,49324,4474700,126690,671980,178250,464100,82083,"RFTN1","Q14699"
"2998","SLC1A5",1429900,660090,244750,484120,1488000,169880,950300,92340,638020,756690,25617,534000,1399700,512750,3025300,655840,3570300,183040,552190,172620,407640,149360,"SLC1A5","Q15758"
"3005","STXBP2",1378300,187670,1778000,502910,1839600,222450,1746700,1010600,2455000,283730,1372700,401690,1536900,739930,2454400,220320,11813000,352880,955460,475770,1377300,302800,"STXBP2","Q15833"
"3083","HLA-DRB5",1915500,168460,1183100,252090,2382100,105820,1922700,206350,4109900,823210,1585200,405970,608980,39081,1748400,82034,18889000,1400000,858010,241440,1864000,433930,"HLA-DRB5","Q30154"
"3107","ANO6",614040,60267,826970,74833,1376500,136310,2335500,358550,1506100,109190,1157200,240910,987450,504870,1167900,58713,2123700,29880,251370,72605,424400,53055,"ANO6","Q4KMQ2"
"3169","GNAS",2755800,1096800,2331500,778480,2691500,426520,4962900,1414600,2821200,815880,741200,538480,3479500,768190,3146900,344480,8272800,407160,1421400,464720,3527600,1352900,"GNAS","Q5JWF2"
"3420","CYFIP1",1379700,904620,2412100,679840,1863800,349520,3249400,632730,2901600,475840,847730,451610,3158800,1124000,5793400,363060,15244000,512870,1305700,174100,2966400,993600,"CYFIP1","Q7L576"
"3436","ZC3HAV1",28359,31880,172800,39212,281930,63538,276420,52055,249760,31375,100510,92318,241940,152340,425390,36219,847290,26644,89934,20806,198940,48873,"ZC3HAV1","Q7Z2W4"
"3607","ABI1",719000,187050,765150,233230,896010,115090,975790,261090,1144900,224850,336970,295950,733780,142220,878960,94555,2951400,155420,285730,12310,740930,362720,"ABI1","Q8IZP0"
"3796","PLEKHO2",464120,66436,416620,162410,738130,47591,1279200,148000,280700,7322.3,257060,214190,999210,222720,2366100,77725,3892700,144490,415530,55421,717520,54035,"PLEKHO2","Q8TD55"
"3806","EPS8L1",38706,13931,208260,88733,411540,14396,150900,1090700,959920,185770,14091,63084,481980,968200,201710,183660,1752900,233790,107520,89806,126480,102130,"EPS8L1","Q8TE68"
"3871","SMPDL3B",939040,295370,1358300,490680,1639400,208940,317590,237330,1252800,449810,426520,451660,1401000,129040,2048700,389970,1129400,64712,1110000,668900,1339800,337640,"SMPDL3B","Q92485"
"4063","S100A16",634330,142790,1418000,495290,1098600,192390,926270,468690,2125600,481430,885920,345170,978090,553290,497340,113430,1777600,112160,285400,139580,192640,61892,"S100A16","Q96FQ6"
"4122","CNDP2",790630,167310,586350,97120,508880,52428,1609500,257340,914720,99167,165440,25182,1273600,74238,2971900,311050,4867300,56098,459880,104850,744760,42758,"CNDP2","Q96KP4"
"4186","MYADM",1573000,788840,1178900,982370,3665500,675830,2767800,894040,2135100,831360,588290,1018100,1827800,242820,2419300,180230,4100400,400220,774840,318690,1271000,410570,"MYADM","Q96S97"
"4199","NIBAN2",1336300,322790,1311300,355270,1817200,294580,2282700,1006400,2574700,486340,192880,498710,2065900,1145300,1955800,315300,5167400,93836,549930,57673,843090,264170,"FAM129B","Q96TA1"
"4213","PARK7",274830,145420,321030,110310,769690,178690,887280,205350,888440,233840,403500,269970,851190,152770,864230,81135,929090,64852,302290,65526,707670,213180,"PARK7","Q99497"
"4349","VAMP8",928500,268960,508700,175960,922050,106180,810860,326230,1391200,160110,812710,180850,402310,10997,591820,80515,524420,46694,190320,53186,322120,70558,"VAMP8","Q9BV40"
"4531","DNAJC5",1278500,139580,659150,50481,958470,26498,1058200,97413,1107200,35072,771510,48316,337240,18799,705720,51666,2378000,59592,156910,18752,380700,104100,"DNAJC5","Q9H3Z4"
"4674","GPRC5C",210970,39172,39706,298530,192930,133740,292710,1660600,17655,230330,20699,282750,1375700,947640,487810,759720,242420,52775,548260,1264800,190360,147690,"GPRC5C","Q9NQ84"
"4720","PLSCR3",566920,133950,546300,77872,626430,67544,750750,171160,436560,17470,341960,118570,869250,143950,948790,149210,1926300,106430,358670,31899,618500,107700,"PLSCR3","Q9NRY6"
"4752","CYRIB",261730,138250,757250,419480,762890,149090,1190200,226960,542000,333300,554280,342630,1615200,157940,4916200,406130,6508700,380780,696030,217930,1508100,253180,"FAM49B","Q9NUQ9"
"4832","CLIC5",176790,193960,1287600,213510,3526900,647650,5935700,2661600,1657900,829510,1118300,921780,2812900,851600,341810,86221,2054100,55626,357930,38646,4522700,1134400,"CLIC5","Q9NZA1"
"4887","PTGFRN",4794900,1322200,3149500,1225500,6396000,892620,5137100,1558500,1638400,707010,4163300,1512400,5288700,384290,4141500,863430,4744600,200370,2394600,885740,2871700,643790,"PTGFRN","Q9P2B2"
"5142","NCKAP1",1009700,329150,1868700,291260,1160900,81002,1741700,398320,3140300,458520,833370,206610,1907200,441870,1866000,119540,4194300,79983,578220,20193,1840300,630510,"NCKAP1","Q9Y2A7"
"5158","EPB41L3",617880,58388,1561200,187660,829280,38141,1083200,117050,817410,54922,1498900,96430,686710,111350,2780200,21988,5742900,108010,362660,79268,400130,92633,"EPB41L3","Q9Y2J2"
"5188","CAB39",531840,134480,450080,155650,1026100,126060,862050,492020,619980,161650,364000,322190,1057500,805750,485390,112240,2090600,34709,281840,68259,901540,283670,"CAB39","Q9Y376"
"5279","F11R",244160,158370,243760,248680,360020,40933,938040,103220,129150,161590,205560,139260,1217400,111080,1599500,99855,1158400,36478,640950,105730,1013100,239610,"F11R","Q9Y624"
