"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"132","STXBP3",1050400,360550,473610,112170,658820,210550,1505800,118040,1032500,291540,534070,338860,1905700,438060,2425500,132150,4060900,79914,530410,69238,1293800,192950,"STXBP3","O00186"
"157","IPO5",519410,115280,568100,142380,1361600,324620,1032400,233230,652600,111520,648890,532110,950780,211900,1048100,202440,1379700,31691,157910,30032,297860,95467,"IPO5","O00410"
"185","FCN1",301090,43292,229370,241140,442240,92357,836320,130580,21742,31025,362530,210340,951890,88042,408880,135320,359630,52725,161010,16006,483150,83703,"FCN1","O00602"
"224","SLC9A3R1",2347000,1935800,3499800,2184700,26277000,8592000,9590800,4945400,2444000,1150900,2745800,9898100,8044000,10516000,3032600,590370,7612200,772130,2722500,1872000,5395700,2581800,"SLC9A3R1","O14745"
"281","PLSCR1",1657000,1095500,1073300,1190300,6106100,1529800,2374200,1073300,3143800,2220400,762100,2763700,3683500,1094500,5412900,698700,11405000,1089500,1990700,1029300,2813300,1378600,"PLSCR1","O15162"
"316","SLC16A3",479590,311900,801850,570640,255150,95975,627260,142410,517090,245020,220210,263990,584030,353500,2766100,572130,3632300,481540,351750,248520,575420,216160,"SLC16A3","O15427"
"365","EPB41L2",400430,114900,492970,98487,1043700,20165,1442600,328990,289820,116280,1164100,90354,919170,352100,1131200,78191,2834600,56590,220550,63866,292910,39952,"EPB41L2","O43491"
"406","AHCYL1",94759,118380,252720,43249,178000,87645,518670,89064,448130,119940,201660,219520,697930,295310,802470,32433,1057100,20280,423280,22359,371800,53809,"AHCYL1","O43865"
"561","RP2",413780,117960,1407800,376090,884830,61237,1184100,285020,1129600,97790,717360,103210,830650,176680,2063600,161830,3519900,93887,255240,59166,685830,110000,"RP2","O75695"
"589","FLOT1",2562100,1187200,2291600,840260,4760000,786330,5584800,1996600,2772400,805870,4017400,1399800,2990100,428740,3250400,738680,2178700,105190,1338600,452450,4706200,2116200,"FLOT1","O75955"
"607","STK10",301760,51103,1124600,129790,792160,22998,831930,124340,599480,15624,871930,109490,458770,43971,780650,20818,3010900,20364,204150,18149,446890,87317,"STK10","O94804"
"681","SLC34A2",1710700,1459100,903910,2607900,879210,240180,2023200,2683100,2771200,3337100,115050,607240,2099500,1967900,7147800,2738600,1966900,246160,876380,673690,4685700,3461700,"SLC34A2","O95436"
"711","AP2A1",1185000,406380,1222900,288170,2158300,485450,2091000,648040,2113300,337370,1912600,626210,1516300,300080,1376400,132680,2701500,12177,453230,89023,725780,151240,"AP2A1","O95782"
"719","CLDN1",662860,452350,372430,656320,2163600,692900,2149800,865170,274700,608890,85462,879940,2283200,1009200,3394000,929130,3588500,463510,935340,201830,1454200,730280,"CLDN1","O95832"
"757","EGFR",1993600,301970,2606600,517170,3125300,239260,2103800,285360,4602300,562790,2285700,511610,2291200,474580,1291300,54853,4996200,133180,917810,307370,818510,254430,"EGFR","P00533"
"790","KRAS",328700,172880,766910,196610,549310,123990,915170,316600,558930,315050,411650,212350,2589100,834840,1353900,179730,9241400,1260200,193220,108440,913110,262760,"KRAS","P01116"
"915","THY1",2357800,1094300,4780300,2351600,5413300,1346200,6426400,3102300,2007100,425300,2503700,2382600,2649600,354410,1646300,163770,3887500,229770,1824900,603070,2839300,908060,"THY1","P04216"
"946","ITGB2",3429600,1038000,2323500,2571200,4149200,628520,11093000,1672500,2010500,367920,2034400,947820,7160800,892520,19536000,717310,34634000,1377700,3774300,948090,8052400,854710,"ITGB2","P05107"
"974","ITGB1",3043000,749380,2269800,913170,2854200,307910,4190900,522150,4017700,870960,1914100,660420,4975700,718050,6052000,469580,13371000,627770,1930900,363300,3360300,677930,"ITGB1","P05556"
"991","ATP5F1B",975770,1201000,627420,1328200,560800,579180,2537100,1195300,1771200,746140,1232500,1061300,358030,555530,262750,180170,124190,108710,247750,296210,438560,3113300,"ATP5B","P06576"
"1043","LYN",702080,225350,689880,397320,1616700,107630,2697500,491940,1037000,324900,225920,74427,1978600,97933,3868100,296440,12789000,214130,932430,170850,1399900,120800,"LYN","P07948"
"1083","HCK",565850,218460,816000,642040,1050900,61203,2386300,516000,272750,211500,232540,417890,1568000,217680,3852600,39976,11233000,203210,673220,144210,1166600,269310,"HCK","P08631"
"1090","GNAI3",695740,487260,471700,1087900,970270,45775,2684100,1191900,1987200,861700,194900,486480,3249400,349930,6405300,1514800,6355300,253140,1468300,141130,2944700,961870,"GNAI3","P08754"
"1135","LTA4H",742590,75278,597800,168790,825990,66119,1417700,151900,744750,53970,495710,19958,1091600,160610,2123900,192020,4106300,118490,428260,127790,887990,93335,"LTA4H","P09960"
"1166","HLA-C",5187500,1316700,13600000,3465400,7258500,1511500,3233900,675120,10200000,863420,10872000,3302100,6434600,1210300,5376300,1106100,20329000,1933400,3241600,600980,2184300,660910,"HLA-C","P10321"
"1192","EPB41",175700,158360,605400,527860,1498000,197670,4777100,901110,411430,161710,3334400,583320,1419200,394560,344270,19684,1807900,59499,327030,219660,6484300,2501700,"EPB41","P11171"
"1195","ITGAM",5725100,1671400,7209900,3798800,4512700,613890,10473000,1778700,2596000,850160,3896600,1166500,6207600,791110,16174000,1065900,25973000,1347000,2169100,706200,4104900,1251400,"ITGAM","P11215"
"1282","CD59",2181900,1297000,4218100,1387300,580140,897330,4501700,2558200,3721900,1074400,3296600,945560,6841500,589890,3796600,524440,5320500,367170,2225500,818920,4472000,1198900,"CD59","P13987"
"1286","FOLR2",873650,83870,633160,82918,1665600,101100,2258200,441900,634670,53743,1514700,179090,657720,33545,600870,5378.7,1263100,21087,430400,57109,412040,64902,"FOLR2","P14207"
"1353","PECAM1",5306.2,94882,395230,235480,586880,33650,1129100,38395,200330,20595,30800,126740,563180,130450,1415700,60842,3777800,155480,280820,87301,926300,136300,"PECAM1","P16284"
"1431","ATP2B1",2132800,888330,1248900,473040,3705900,389510,2188700,437410,1485400,419780,1766200,1026200,1931300,962110,1099300,192630,2995200,22173,459470,169530,588750,129680,"ATP2B1","P20020"
"1432","HLA-DPA1",769760,271430,238330,263240,1143700,154300,1155400,229230,473770,248150,354820,318830,1013200,55478,1021900,73829,7142500,1028000,492090,204990,841370,315050,"HLA-DPA1","P20036"
"1434","ANXA7",2922600,1098700,2127500,649650,2304900,570950,4189500,841350,2616500,828830,3126800,886340,2537800,713610,3139500,351410,1285500,63997,897070,292830,3373500,574790,"ANXA7","P20073"
"1488","PCMT1",235120,68603,287770,115510,293730,55838,600260,186900,635130,133120,404720,292800,908500,79278,420440,107630,597880,24455,82717,70090,421090,231230,"PCMT1","P22061"
"1507","TGM1",630440,248210,985490,271360,3712600,632450,798540,296920,4661700,1714300,993990,1298400,5966000,3540300,1579600,352230,10183000,557840,539270,286130,8519900,1803800,"TGM1","P22735"
"1515","MRC1",1234900,932920,468570,1925100,1932800,153570,6202300,5751800,705390,597080,1714500,505180,1661200,279380,260640,752980,66726,10888,1283700,1854900,133600,425890,"MRC1","P22897"
"1612","STOM",4142200,1703800,4671300,2606800,10444000,3006600,17179000,11181000,3984900,1244000,7278300,3765000,8465000,2980500,3393900,274880,10493000,546010,3816500,1046400,17008000,4645300,"STOM","P27105"
"1626","CD82",562460,188980,894650,658990,384150,39726,811100,291760,1632500,722360,931240,403460,1569100,433800,2068100,977250,3331000,219370,602520,219400,1302500,458060,"CD82","P27701"
